Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,0.66722,0.56762,0.12143,0.76061,0.70529,0.04746,0.06436,0.00173,0.01151,0.675
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,0.66662,0.57177,0.12489,0.75468,0.70082,0.05115,0.06662,0.00176,0.01169,0.625
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,0.66709,0.57263,0.12315,0.75244,0.69853,0.05639,0.0682,0.00167,0.0121,0.575
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,0.66192,0.56791,0.12122,0.74491,0.69422,0.04722,0.06672,0.00185,0.01196,0.6
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,0.66272,0.56841,0.12039,0.74442,0.69355,0.04825,0.06698,0.00184,0.01215,0.575
1,42,mse,MSE,1.0,0.0,50,1.03061,0.69556,0.17079,127.07363,2.32498,0.30064,0.08214,0.00276,0.03893,0.7
1,42,mse,MSE,1.0,0.0,100,1.24346,0.74785,0.21708,1.4102,0.89021,0.04016,0.04394,0.00422,0.02324,0.625
1,42,mse,MSE,1.0,0.0,300,0.6718,0.58044,0.12337,0.81443,0.74427,0.08673,0.06682,0.00133,0.01572,0.6
1,42,mse,MSE,1.0,0.0,500,0.66258,0.56828,0.11998,0.74236,0.69237,0.05155,0.06793,0.00181,0.01243,0.575
2,43,hsic,HSIC,0.0,1.0,50,1.8062,0.91122,0.24884,4.2536,1.35582,0.13108,0.12701,0.00491,0.02819,0.65
2,43,hsic,HSIC,0.0,1.0,100,1.64443,0.94802,0.16858,4.11907,1.31344,0.10202,0.09308,0.00473,0.01557,0.65
2,43,hsic,HSIC,0.0,1.0,300,1.2084,0.87918,0.05816,4.17404,1.28174,0.05503,0.05565,0.00403,0.03424,0.7
2,43,hsic,HSIC,0.0,1.0,500,1.25582,0.88637,0.08319,3.77378,1.18299,0.03655,0.06364,0.00325,0.03212,0.75
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,0.76654,0.6223,0.14186,0.94204,0.78146,0.04104,0.05623,0.00189,0.02311,0.725
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.01718,0.7011,0.17884,0.83458,0.74481,0.04527,0.05697,0.00214,0.02204,0.625
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.00307,0.69382,0.16936,0.80291,0.7179,0.04519,0.06852,0.00208,0.02243,0.7
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.98957,0.69608,0.17028,0.83343,0.73927,0.07308,0.08225,0.00182,0.02523,0.675
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,1.03946,0.69501,0.18363,0.82769,0.74128,0.07157,0.0941,0.00202,0.02548,0.675
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.02281,0.69424,0.1746,0.83216,0.74262,0.06414,0.09986,0.00233,0.02436,0.625
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.03033,0.69781,0.17273,0.84793,0.74525,0.06668,0.11009,0.00267,0.02388,0.625
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.03077,0.69813,0.17212,0.83166,0.73706,0.06893,0.1097,0.00274,0.02339,0.65
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.02978,0.69813,0.17159,0.8993,0.73215,0.04628,0.07427,0.00346,0.02298,0.625
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.50113,0.74681,0.16608,0.94194,0.79119,0.03737,0.03607,0.0029,0.01781,0.625
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.96757,0.67508,0.16633,0.90371,0.7761,0.0355,0.02945,0.00264,0.02016,0.7
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.93005,0.66854,0.16248,0.86086,0.74462,0.04622,0.04203,0.00232,0.02065,0.625
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.92637,0.67263,0.16475,0.83284,0.73112,0.04846,0.04544,0.00229,0.02141,0.6
