Dataset,Experiment,Seed,N,Do,MMD,RF Acc
collider-linear,2,43,100,x2=0.0,0.01743,0.5
collider-linear,3,44,100,x2=0.0,0.01025,0.525
collider-linear,4,45,100,x2=0.0,0.00907,0.525
collider-linear,5,46,100,x2=0.0,0.00704,0.525
collider-linear,6,47,100,x2=0.0,0.01231,0.625
collider-linear,7,48,100,x2=0.0,0.00976,0.55
collider-linear,8,49,100,x2=0.0,0.03128,0.55
collider-linear,9,50,100,x2=0.0,0.01464,0.525
collider-linear,10,51,100,x2=0.0,0.01135,0.55
fork-linear,1,42,50,x2=0.0,0.03155,0.625
fork-linear,2,43,50,x2=0.0,0.01313,0.55
fork-linear,3,44,50,x2=0.0,0.02382,0.6
fork-linear,4,45,50,x2=0.0,0.02093,0.575
fork-linear,5,46,50,x2=0.0,0.02031,0.65
fork-linear,6,47,50,x2=0.0,0.01766,0.575
fork-linear,7,48,50,x2=0.0,0.01493,0.55
fork-linear,8,49,50,x2=0.0,0.03435,1.0
fork-linear,9,50,50,x2=0.0,0.01912,0.525
fork-linear,10,51,50,x2=0.0,0.01114,0.525
fork-linear,1,42,100,x2=0.0,0.01673,0.625
fork-linear,2,43,100,x2=0.0,0.01577,1.0
fork-linear,3,44,100,x2=0.0,0.02634,0.525
fork-linear,4,45,100,x2=0.0,0.01723,0.625
fork-linear,5,46,100,x2=0.0,0.01576,0.55
fork-linear,6,47,100,x2=0.0,0.02241,0.6
fork-linear,7,48,100,x2=0.0,0.01538,0.55
fork-linear,8,49,100,x2=0.0,0.04637,0.525
fork-linear,9,50,100,x2=0.0,0.01809,0.55
fork-linear,10,51,100,x2=0.0,0.01552,0.6
fork-non-linear,1,42,50,x2=0.0,0.04815,0.675
fork-non-linear,2,43,50,x2=0.0,0.02199,0.525
fork-non-linear,3,44,50,x2=0.0,0.0288,0.65
fork-non-linear,4,45,50,x2=0.0,0.04537,0.625
fork-non-linear,5,46,50,x2=0.0,0.02376,0.625
fork-non-linear,6,47,50,x2=0.0,0.02933,0.55
fork-non-linear,7,48,50,x2=0.0,0.02315,0.6
fork-non-linear,8,49,50,x2=0.0,0.06176,0.65
fork-non-linear,9,50,50,x2=0.0,0.04654,0.65
fork-non-linear,10,51,50,x2=0.0,0.04589,0.525
fork-non-linear,1,42,100,x2=0.0,0.02752,0.6
fork-non-linear,2,43,100,x2=0.0,0.01909,1.0
fork-non-linear,3,44,100,x2=0.0,0.01441,0.525
fork-non-linear,4,45,100,x2=0.0,0.02499,0.575
fork-non-linear,5,46,100,x2=0.0,0.01543,0.525
fork-non-linear,6,47,100,x2=0.0,0.03996,0.55
fork-non-linear,7,48,100,x2=0.0,0.03648,0.575
fork-non-linear,8,49,100,x2=0.0,0.05411,0.65
fork-non-linear,9,50,100,x2=0.0,0.02458,0.55
fork-non-linear,10,51,100,x2=0.0,0.03823,0.525
simpson-non-linear,1,42,50,x2=0.0,0.0174,0.575
simpson-non-linear,2,43,50,x2=0.0,0.01612,0.625
simpson-non-linear,3,44,50,x2=0.0,0.03087,0.6
