Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
4-chain-linear,100,0.4,0.6,hybrid,10,0.9975,0.00791,0.15087,0.05674,0.06179,0.0382
4-chain-linear,100,0.5,0.5,hybrid,10,0.9975,0.00791,0.15495,0.05498,0.05261,0.04625
4-chain-linear,100,0.6,0.4,hybrid,10,1.0,0.0,0.15371,0.05586,0.03838,0.02684
4-chain-linear,100,0.7,0.3,hybrid,10,1.0,0.0,0.15395,0.05493,0.05561,0.03947
4-chain-linear,100,0.8,0.2,hybrid,10,1.0,0.0,0.15566,0.0547,0.0475,0.02359
5-chain-linear,50,0.0,1.0,mse,10,0.6275,0.05197,0.02482,0.00618,0.83914,0.02016
5-chain-linear,50,0.1,0.9,hybrid,10,0.625,0.06562,0.02491,0.00571,0.83991,0.02069
5-chain-linear,50,0.2,0.8,hybrid,10,0.615,0.06791,0.02445,0.00757,0.84128,0.02783
5-chain-linear,50,0.3,0.7,hybrid,10,0.6225,0.04923,0.02369,0.00545,0.83843,0.01843
5-chain-linear,50,0.4,0.6,hybrid,10,0.615,0.06146,0.0231,0.00649,0.83788,0.01697
5-chain-linear,50,0.5,0.5,hybrid,10,0.6175,0.06015,0.02265,0.00592,0.83947,0.02208
5-chain-linear,50,0.6,0.4,hybrid,10,0.6025,0.0448,0.02184,0.00537,0.84074,0.02594
5-chain-linear,50,0.7,0.3,hybrid,10,0.6125,0.05035,0.0198,0.00381,0.8327,0.00145
5-chain-linear,50,0.8,0.2,hybrid,10,0.5825,0.05898,0.01923,0.00383,0.83238,0.00134
5-chain-linear,100,0.0,1.0,mse,10,0.61,0.05028,0.01642,0.0041,0.83475,0.00425
5-chain-linear,100,0.1,0.9,hybrid,10,0.5825,0.06977,0.01629,0.00353,0.83503,0.00431
5-chain-linear,100,0.2,0.8,hybrid,10,0.5675,0.03736,0.01589,0.00325,0.83544,0.00424
5-chain-linear,100,0.3,0.7,hybrid,10,0.5725,0.04322,0.01623,0.00365,0.83568,0.00431
5-chain-linear,100,0.4,0.6,hybrid,10,0.61,0.05916,0.01595,0.00355,0.83531,0.00477
5-chain-linear,100,0.5,0.5,hybrid,10,0.5875,0.05922,0.01512,0.00337,0.83445,0.00462
5-chain-linear,100,0.6,0.4,hybrid,10,0.61,0.05426,0.01456,0.00279,0.83395,0.00287
5-chain-linear,100,0.7,0.3,hybrid,10,0.5925,0.05144,0.01398,0.00259,0.83375,0.00285
5-chain-linear,100,0.8,0.2,hybrid,10,0.575,0.0527,0.01399,0.00309,0.83328,0.00322
collider-linear,50,0.0,1.0,mse,10,0.6425,0.04721,0.02382,0.00927,0.76106,0.72869
collider-linear,50,0.1,0.9,hybrid,10,0.66,0.04743,0.02203,0.00784,0.76518,0.74196
collider-linear,50,0.2,0.8,hybrid,10,0.64,0.05426,0.02426,0.01125,0.77324,0.75975
collider-linear,50,0.3,0.7,hybrid,10,0.67,0.05375,0.02594,0.01245,0.7957,0.78372
collider-linear,50,0.4,0.6,hybrid,10,0.65,0.04564,0.02593,0.01131,0.79429,0.78917
collider-linear,50,0.5,0.5,hybrid,10,0.655,0.02838,0.02511,0.01067,0.77964,0.76656
collider-linear,50,0.6,0.4,hybrid,10,0.6425,0.03545,0.02674,0.01095,0.70606,0.53509
collider-linear,50,0.7,0.3,hybrid,10,0.645,0.0483,0.0266,0.01071,0.53389,0.04963
collider-linear,50,0.8,0.2,hybrid,10,0.645,0.04216,0.02594,0.01001,0.52842,0.05201
collider-linear,100,0.0,1.0,mse,10,0.6475,0.08118,0.01834,0.00737,0.51522,0.07345
collider-linear,100,0.1,0.9,hybrid,10,0.6275,0.06503,0.0191,0.00668,0.52184,0.08565
collider-linear,100,0.2,0.8,hybrid,10,0.6525,0.05458,0.01824,0.00609,0.5119,0.07591
collider-linear,100,0.3,0.7,hybrid,10,0.6675,0.05007,0.01899,0.0069,0.49673,0.0327
collider-linear,100,0.4,0.6,hybrid,10,0.6475,0.04632,0.01902,0.00657,0.48895,0.02429
collider-linear,100,0.5,0.5,hybrid,10,0.6525,0.05458,0.02016,0.00586,0.49334,0.03285
collider-linear,100,0.6,0.4,hybrid,10,0.6725,0.06175,0.02056,0.00543,0.4877,0.03227
collider-linear,100,0.7,0.3,hybrid,10,0.66,0.03944,0.02069,0.00571,0.49423,0.02534
collider-linear,100,0.8,0.2,hybrid,10,0.655,0.02582,0.02174,0.00554,0.49866,0.03024
fork-linear,50,0.0,1.0,mse,10,0.67,0.0654,0.04172,0.01684,0.57452,0.25513
fork-linear,50,0.1,0.9,hybrid,10,0.675,0.05137,0.0375,0.01673,0.58431,0.2666
fork-linear,50,0.2,0.8,hybrid,10,0.6525,0.07115,0.03341,0.01647,0.71017,0.4388
fork-linear,50,0.3,0.7,hybrid,10,0.6725,0.06713,0.03386,0.01771,0.79621,0.53232
fork-linear,50,0.4,0.6,hybrid,10,0.675,0.07169,0.03463,0.01717,0.5546,0.27404
fork-linear,50,0.5,0.5,hybrid,10,0.685,0.06368,0.03487,0.01684,0.57751,0.30317
fork-linear,50,0.6,0.4,hybrid,10,0.6625,0.09071,0.03503,0.01932,0.64287,0.63588
fork-linear,50,0.7,0.3,hybrid,10,0.6925,0.07173,0.03385,0.01807,0.92093,0.95341
fork-linear,50,0.8,0.2,hybrid,10,0.6925,0.04572,0.03447,0.0157,1.47254,1.939
fork-linear,100,0.0,1.0,mse,10,0.575,0.06124,0.01971,0.01114,0.27419,0.02171
fork-linear,100,0.1,0.9,hybrid,10,0.58,0.04534,0.01832,0.01207,0.28028,0.02761
fork-linear,100,0.2,0.8,hybrid,10,0.5825,0.06672,0.01728,0.01131,0.28076,0.02571
fork-linear,100,0.3,0.7,hybrid,10,0.575,0.03727,0.01324,0.0042,0.27823,0.02405
fork-linear,100,0.4,0.6,hybrid,10,0.585,0.04441,0.01283,0.00457,0.28097,0.02322
fork-linear,100,0.5,0.5,hybrid,10,0.5575,0.05144,0.01321,0.00418,0.28393,0.0295
fork-linear,100,0.6,0.4,hybrid,10,0.575,0.05,0.01328,0.00327,0.29423,0.02686
fork-linear,100,0.7,0.3,hybrid,10,0.5925,0.05277,0.01513,0.0039,0.31677,0.05558
fork-linear,100,0.8,0.2,hybrid,10,0.595,0.0771,0.01898,0.01187,0.36683,0.15987
fork-non-linear,50,0.0,1.0,mse,10,0.82,0.10124,0.13379,0.05408,0.62314,0.13277
fork-non-linear,50,0.1,0.9,hybrid,10,0.8175,0.06672,0.13078,0.05657,0.62659,0.11845
fork-non-linear,50,0.2,0.8,hybrid,10,0.7875,0.09878,0.12669,0.05835,0.59197,0.16389
fork-non-linear,50,0.3,0.7,hybrid,10,0.7925,0.0791,0.12372,0.06313,0.60019,0.18658
fork-non-linear,50,0.4,0.6,hybrid,10,0.79,0.09944,0.11789,0.06306,0.58812,0.19597
fork-non-linear,50,0.5,0.5,hybrid,10,0.81,0.08097,0.13767,0.05595,0.6431,0.19402
fork-non-linear,50,0.6,0.4,hybrid,10,0.8075,0.07822,0.15435,0.05099,0.69633,0.156
