Dataset,Experiment,Seed,N,Do,MMD,RF Acc
collider-linear,2,43,100,x2=0.0,0.01201,0.525
collider-linear,3,44,100,x2=0.0,0.02601,0.625
collider-linear,4,45,100,x2=0.0,0.01406,0.625
collider-linear,5,46,100,x2=0.0,0.01842,0.775
collider-linear,6,47,100,x2=0.0,0.01317,0.75
collider-linear,7,48,100,x2=0.0,0.01038,0.65
collider-linear,8,49,100,x2=0.0,0.02046,0.6
collider-linear,9,50,100,x2=0.0,0.01926,0.65
collider-linear,10,51,100,x2=0.0,0.0202,0.8
fork-linear,1,42,50,x2=0.0,0.02371,0.775
fork-linear,2,43,50,x2=0.0,0.03169,0.65
fork-linear,3,44,50,x2=0.0,0.01105,0.6
fork-linear,4,45,50,x2=0.0,0.02526,0.75
fork-linear,5,46,50,x2=0.0,0.01365,0.525
fork-linear,6,47,50,x2=0.0,0.01468,0.7
fork-linear,7,48,50,x2=0.0,0.01117,0.65
fork-linear,8,49,50,x2=0.0,0.01928,0.65
fork-linear,9,50,50,x2=0.0,0.01118,0.625
fork-linear,10,51,50,x2=0.0,0.01119,0.55
fork-linear,1,42,100,x2=0.0,0.00514,0.65
fork-linear,2,43,100,x2=0.0,0.01296,0.55
fork-linear,3,44,100,x2=0.0,0.03482,0.6
fork-linear,4,45,100,x2=0.0,0.00752,0.55
fork-linear,5,46,100,x2=0.0,0.0106,0.625
fork-linear,6,47,100,x2=0.0,0.01998,0.575
fork-linear,7,48,100,x2=0.0,0.01351,0.625
fork-linear,8,49,100,x2=0.0,0.03889,0.675
fork-linear,9,50,100,x2=0.0,0.0245,0.7
fork-linear,10,51,100,x2=0.0,0.00641,0.6
fork-non-linear,1,42,50,x2=0.0,0.04247,0.775
fork-non-linear,2,43,50,x2=0.0,0.03755,0.7
fork-non-linear,3,44,50,x2=0.0,0.02968,0.7
fork-non-linear,4,45,50,x2=0.0,0.01599,0.65
fork-non-linear,5,46,50,x2=0.0,0.0556,0.75
fork-non-linear,6,47,50,x2=0.0,0.04329,0.775
fork-non-linear,7,48,50,x2=0.0,0.04534,0.75
fork-non-linear,8,49,50,x2=0.0,0.02443,0.65
fork-non-linear,9,50,50,x2=0.0,0.08055,0.725
fork-non-linear,10,51,50,x2=0.0,0.06991,0.775
fork-non-linear,1,42,100,x2=0.0,0.02184,0.675
fork-non-linear,2,43,100,x2=0.0,0.0446,0.675
fork-non-linear,3,44,100,x2=0.0,0.04742,0.725
fork-non-linear,4,45,100,x2=0.0,0.06247,0.65
fork-non-linear,5,46,100,x2=0.0,0.06369,0.775
fork-non-linear,6,47,100,x2=0.0,0.05953,0.875
fork-non-linear,7,48,100,x2=0.0,0.08213,0.85
fork-non-linear,8,49,100,x2=0.0,0.06519,0.725
fork-non-linear,9,50,100,x2=0.0,0.02906,0.775
fork-non-linear,10,51,100,x2=0.0,0.03598,0.65
simpson-non-linear,1,42,50,x2=0.0,0.03584,0.775
simpson-non-linear,2,43,50,x2=0.0,0.02687,0.675
simpson-non-linear,3,44,50,x2=0.0,0.02682,0.675
simpson-non-linear,4,45,50,x2=0.0,0.00895,0.65
simpson-non-linear,5,46,50,x2=0.0,0.01239,0.725
simpson-non-linear,6,47,50,x2=0.0,0.01282,0.725
simpson-non-linear,7,48,50,x2=0.0,0.01728,0.675
simpson-non-linear,8,49,50,x2=0.0,0.05831,0.75
simpson-non-linear,9,50,50,x2=0.0,0.02587,0.6
simpson-non-linear,10,51,50,x2=0.0,0.01851,0.5
simpson-non-linear,1,42,100,x2=0.0,0.04555,0.775
simpson-non-linear,2,43,100,x2=0.0,0.03902,0.75
simpson-non-linear,3,44,100,x2=0.0,0.02632,0.6
simpson-non-linear,4,45,100,x2=0.0,0.023,0.6
simpson-non-linear,5,46,100,x2=0.0,0.00642,0.55
simpson-non-linear,6,47,100,x2=0.0,0.0236,0.675
simpson-non-linear,7,48,100,x2=0.0,0.0101,0.625
simpson-non-linear,8,49,100,x2=0.0,0.01744,0.625
simpson-non-linear,9,50,100,x2=0.0,0.01825,0.725
simpson-non-linear,10,51,100,x2=0.0,0.01462,0.65
simpson-symprod,1,42,50,x2=0.0,0.03785,0.8
simpson-symprod,2,43,50,x2=0.0,0.04864,0.725
simpson-symprod,3,44,50,x2=0.0,0.01587,0.65
simpson-symprod,4,45,50,x2=0.0,0.02045,0.6
simpson-symprod,5,46,50,x2=0.0,0.05129,0.825
simpson-symprod,6,47,50,x2=0.0,0.02194,0.775
simpson-symprod,7,48,50,x2=0.0,0.03578,0.75
simpson-symprod,8,49,50,x2=0.0,0.05129,0.8
simpson-symprod,9,50,50,x2=0.0,0.03178,0.625
simpson-symprod,10,51,50,x2=0.0,0.02662,0.825
simpson-symprod,1,42,100,x2=0.0,0.01195,0.7
simpson-symprod,2,43,100,x2=0.0,0.0335,0.675
simpson-symprod,3,44,100,x2=0.0,0.0169,0.65
simpson-symprod,4,45,100,x2=0.0,0.03022,0.65
simpson-symprod,5,46,100,x2=0.0,0.02405,0.675
simpson-symprod,6,47,100,x2=0.0,0.03069,0.775
simpson-symprod,7,48,100,x2=0.0,0.01769,0.625
simpson-symprod,8,49,100,x2=0.0,0.05245,0.725
simpson-symprod,9,50,100,x2=0.0,0.03806,0.875
simpson-symprod,10,51,100,x2=0.0,0.02397,0.65
triangle-linear,1,42,50,x2=0.0,0.07373,0.675
triangle-linear,2,43,50,x2=0.0,0.04464,0.775
triangle-linear,3,44,50,x2=0.0,0.03431,0.6
triangle-linear,4,45,50,x2=0.0,0.02169,0.575
triangle-linear,5,46,50,x2=0.0,0.03909,0.55
triangle-linear,6,47,50,x2=0.0,0.06928,0.7
triangle-linear,7,48,50,x2=0.0,0.01536,0.625
triangle-linear,8,49,50,x2=0.0,0.06369,0.7
triangle-linear,9,50,50,x2=0.0,0.02053,0.65
triangle-linear,10,51,50,x2=0.0,0.03547,0.625
triangle-linear,1,42,100,x2=0.0,0.02428,0.7
triangle-linear,2,43,100,x2=0.0,0.0337,0.65
triangle-linear,3,44,100,x2=0.0,0.04462,0.675
triangle-linear,4,45,100,x2=0.0,0.00816,0.575
triangle-linear,5,46,100,x2=0.0,0.02633,0.6
triangle-linear,6,47,100,x2=0.0,0.02471,0.6
triangle-linear,7,48,100,x2=0.0,0.01542,0.55
triangle-linear,8,49,100,x2=0.0,0.03452,0.525
triangle-linear,9,50,100,x2=0.0,0.02054,0.625
triangle-linear,10,51,100,x2=0.0,0.02223,0.65
triangle-non-linear,1,42,50,x2=0.0,0.03179,0.65
triangle-non-linear,2,43,50,x2=0.0,0.04148,0.725
triangle-non-linear,3,44,50,x2=0.0,0.02815,0.75
triangle-non-linear,4,45,50,x2=0.0,0.0265,0.725
triangle-non-linear,5,46,50,x2=0.0,0.04135,0.575
triangle-non-linear,6,47,50,x2=0.0,0.02166,0.725
triangle-non-linear,7,48,50,x2=0.0,0.02185,0.625
triangle-non-linear,8,49,50,x2=0.0,0.06609,0.7
triangle-non-linear,9,50,50,x2=0.0,0.02496,0.75
triangle-non-linear,10,51,50,x2=0.0,0.02073,0.725
triangle-non-linear,1,42,100,x2=0.0,0.01935,0.675
triangle-non-linear,2,43,100,x2=0.0,0.00858,0.575
triangle-non-linear,3,44,100,x2=0.0,0.02556,0.575
triangle-non-linear,4,45,100,x2=0.0,0.01273,0.575
triangle-non-linear,5,46,100,x2=0.0,0.03031,0.575
triangle-non-linear,6,47,100,x2=0.0,0.03001,0.775
triangle-non-linear,7,48,100,x2=0.0,0.0091,0.75
triangle-non-linear,8,49,100,x2=0.0,0.02296,0.575
triangle-non-linear,9,50,100,x2=0.0,0.05693,0.825
triangle-non-linear,10,51,100,x2=0.0,0.03215,0.8
