model,training_time,mmd_obs_avg,rf_acc_obs_avg,hsic,dhsic,mae
kaam_mixed,2122.8755819797516,0.04010045072398527,0.7997737556561086,0.041809286922216415,0.00022345571656287686,0.4523583057526456
kaam_mixed_pruned,0.06599998474121094,0.03864486858339222,0.8235294117647058,0.041809286922216415,0.00022345571656287686,0.4523583057526456
kaam_mixed_symbolic,0.13692283630371094,0.25389404022461304,0.997737556561086,0.04231329634785652,0.00020977545109645033,0.3960442201318333
kan_mixed,626.5651385784149,0.007174832964762179,0.7771493212669683,0.0404353067278862,0.00022693123327932846,0.3679199987260838
dbcm,221.86900734901428,0.011100365373681864,0.8076923076923077,0.0036519509740173817,5.820245888292635e-05,
flow,9.424107074737549,0.009359114014342751,0.7737556561085973,0.0038126767612993717,0.000127343081636284,
