model_name,node,node_type,beta,alpha,mmd,rf_acc,mmd_all,rf_acc_all,criterion,searched,selected
kaam_mixed,bmi,continuous,0.1,0.9,0.009318067613134584,0.9321266968325792,0.007069801189931724,0.755656108597285,1.6877828054298643,True,True
kaam_mixed,bmi,continuous,0.2,0.8,0.009398180540775014,0.9513574660633484,0.0071030228001941476,0.7669683257918553,1.7183257918552037,True,False
kaam_mixed,bmi,continuous,0.3,0.7,0.009381566994792756,0.9502262443438914,0.04014530964486451,0.7986425339366516,1.748868778280543,True,False
kaam_mixed,bmi,continuous,0.4,0.6,0.009289545195159565,0.9276018099547512,0.040108759407273986,0.8133484162895928,1.740950226244344,True,False
kaam_mixed,bmi,continuous,0.5,0.5,0.009346284051524267,0.9366515837104072,0.0071173962198742835,0.7726244343891403,1.7092760180995477,True,False
kaam_mixed,bmi,continuous,0.6,0.4,0.009327000556307752,0.9321266968325792,0.007126406391652296,0.7613122171945701,1.6934389140271493,True,False
kaam_mixed,bmi,continuous,0.7,0.3,0.009306751198911223,0.9332579185520362,0.007154697690970435,0.7805429864253394,1.7138009049773757,True,False
kaam_mixed,bmi,continuous,0.8,0.2,0.009283069142992706,0.9321266968325792,0.04020942971800279,0.8020361990950227,1.7341628959276019,True,False
kaam_mixed,diabetes,discrete,0.1,0.9,3.1377413661326514e-05,0.5135746606334841,0.007069801189931724,0.755656108597285,1.2692307692307692,False,False
kaam_mixed,diabetes,discrete,0.2,0.8,3.1377413661326514e-05,0.5135746606334841,0.0071030228001941476,0.7669683257918553,1.2805429864253393,False,False
kaam_mixed,diabetes,discrete,0.3,0.7,0.2891742443034231,0.7432126696832579,0.04014530964486451,0.7986425339366516,1.5418552036199096,False,False
kaam_mixed,diabetes,discrete,0.4,0.6,0.2891742443034231,0.7432126696832579,0.040108759407273986,0.8133484162895928,1.5565610859728507,False,False
kaam_mixed,diabetes,discrete,0.5,0.5,2.5931746827856372e-05,0.5135746606334841,0.0071173962198742835,0.7726244343891403,1.2861990950226243,False,False
kaam_mixed,diabetes,discrete,0.6,0.4,3.1377413661326514e-05,0.5135746606334841,0.007126406391652296,0.7613122171945701,1.2748868778280542,False,False
kaam_mixed,diabetes,discrete,0.7,0.3,3.1377413661326514e-05,0.5135746606334841,0.007154697690970435,0.7805429864253394,1.2941176470588234,False,False
kaam_mixed,diabetes,discrete,0.8,0.2,0.2891742443034231,0.7432126696832579,0.04020942971800279,0.8020361990950227,1.5452488687782806,False,False
kaam_mixed,ischemia,discrete,0.1,0.9,0.00029977099332700874,0.505656108597285,0.007069801189931724,0.755656108597285,1.26131221719457,False,False
kaam_mixed,ischemia,discrete,0.2,0.8,0.00029977099332700874,0.505656108597285,0.0071030228001941476,0.7669683257918553,1.2726244343891402,False,False
kaam_mixed,ischemia,discrete,0.3,0.7,0.006805527637435249,0.5328054298642534,0.04014530964486451,0.7986425339366516,1.3314479638009051,False,False
kaam_mixed,ischemia,discrete,0.4,0.6,0.006721768095182101,0.5328054298642534,0.040108759407273986,0.8133484162895928,1.3461538461538463,False,False
kaam_mixed,ischemia,discrete,0.5,0.5,0.0003550056140699809,0.5067873303167421,0.0071173962198742835,0.7726244343891403,1.2794117647058822,False,False
kaam_mixed,ischemia,discrete,0.6,0.4,0.0003550056140699809,0.505656108597285,0.007126406391652296,0.7613122171945701,1.2669683257918551,False,False
kaam_mixed,ischemia,discrete,0.7,0.3,0.0003744544241905956,0.505656108597285,0.007154697690970435,0.7805429864253394,1.2861990950226243,False,False
kaam_mixed,ischemia,discrete,0.8,0.2,0.006638527187865506,0.5328054298642534,0.04020942971800279,0.8020361990950227,1.3348416289592762,False,False
kaam_mixed,macv,discrete,0.1,0.9,0.00023338572144826486,0.5090497737556561,0.007069801189931724,0.755656108597285,1.2647058823529411,False,False
kaam_mixed,macv,discrete,0.2,0.8,0.00021808599082029367,0.5090497737556561,0.0071030228001941476,0.7669683257918553,1.2760180995475112,False,False
kaam_mixed,macv,discrete,0.3,0.7,0.028755454739657127,0.5712669683257918,0.04014530964486451,0.7986425339366516,1.3699095022624435,False,False
kaam_mixed,macv,discrete,0.4,0.6,0.028583008623253692,0.5712669683257918,0.040108759407273986,0.8133484162895928,1.3846153846153846,False,False
kaam_mixed,macv,discrete,0.5,0.5,0.00018904243437312118,0.5079185520361991,0.0071173962198742835,0.7726244343891403,1.2805429864253393,False,False
kaam_mixed,macv,discrete,0.6,0.4,0.00018904243437312118,0.5090497737556561,0.007126406391652296,0.7613122171945701,1.2703619909502262,False,False
kaam_mixed,macv,discrete,0.7,0.3,0.00018904243437312118,0.5090497737556561,0.007154697690970435,0.7805429864253394,1.2895927601809953,False,False
kaam_mixed,macv,discrete,0.8,0.2,0.028583008623253692,0.5712669683257918,0.04020942971800279,0.8020361990950227,1.3733031674208145,False,False
kaam_mixed,systolic,continuous,0.1,0.9,0.025569551950206604,0.9592760180995475,0.007069801189931724,0.755656108597285,1.7149321266968327,True,True
kaam_mixed,systolic,continuous,0.2,0.8,0.025472801672005718,0.9660633484162896,0.0071030228001941476,0.7669683257918553,1.7330316742081449,True,False
kaam_mixed,systolic,continuous,0.3,0.7,0.025339324134975305,0.9762443438914027,0.04014530964486451,0.7986425339366516,1.7748868778280542,True,False
kaam_mixed,systolic,continuous,0.4,0.6,0.025182694572430275,0.9705882352941176,0.040108759407273986,0.8133484162895928,1.7839366515837103,True,False
kaam_mixed,systolic,continuous,0.5,0.5,0.025092363625974556,0.9626696832579186,0.0071173962198742835,0.7726244343891403,1.7352941176470589,True,False
kaam_mixed,systolic,continuous,0.6,0.4,0.024984760095882352,0.9773755656108597,0.007126406391652296,0.7613122171945701,1.73868778280543,True,False
kaam_mixed,systolic,continuous,0.7,0.3,0.024908488901087433,0.9649321266968326,0.007154697690970435,0.7805429864253394,1.745475113122172,True,False
kaam_mixed,systolic,continuous,0.8,0.2,0.02483027595917342,0.9615384615384616,0.04020942971800279,0.8020361990950227,1.7635746606334841,True,False
