Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,10,1.3281,0.36063,0.87973,0.06234,0.02629,0.01689,1.73819,0.99309,1.0095,0.27005,0.05251,0.05248,0.0535,0.06653,0.0016,0.00118,0.01089,0.00686,0.56,0.05617
0.0,1.0,hsic,HSIC,10,3.83654,0.93238,1.54835,0.25047,0.28706,0.228,15.57399,4.83404,2.74758,0.26112,0.35166,0.03633,0.52872,0.02922,0.00523,0.00122,0.05112,0.01101,0.785,0.05318
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,10,1.33175,0.38289,0.87567,0.06349,0.02347,0.0155,1.78486,1.07431,1.01526,0.28777,0.04657,0.05374,0.05287,0.06989,0.00161,0.00123,0.01002,0.00672,0.56,0.07528
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,10,1.33602,0.40012,0.87686,0.06387,0.02241,0.01441,1.80687,1.0732,1.01973,0.28643,0.0457,0.05079,0.05104,0.068,0.00164,0.00125,0.01003,0.00663,0.568,0.06356
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,10,1.33425,0.40559,0.87675,0.06443,0.02269,0.01482,1.8161,1.09787,1.02563,0.28695,0.04701,0.0508,0.05168,0.06542,0.00159,0.00127,0.00989,0.00628,0.57,0.0636
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,10,1.30716,0.32454,0.87662,0.05817,0.02123,0.014,1.84658,1.14888,1.02858,0.29398,0.04424,0.04749,0.05131,0.06511,0.00167,0.00135,0.00983,0.0064,0.558,0.05594
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,10,1.33108,0.31339,0.88506,0.05296,0.02454,0.02473,1.90949,1.27827,1.03814,0.3137,0.04374,0.04852,0.05326,0.06724,0.00175,0.00143,0.01003,0.00581,0.56,0.06749
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,10,1.29376,0.22664,0.88157,0.04399,0.02422,0.02151,1.93622,1.33753,1.04093,0.32231,0.04248,0.04763,0.05299,0.06799,0.00182,0.00136,0.00967,0.0054,0.559,0.05466
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,10,1.2886,0.23144,0.88186,0.04907,0.01915,0.01233,2.45939,1.4315,1.18233,0.35379,0.05874,0.06165,0.0789,0.0832,0.00222,0.00141,0.01159,0.00454,0.581,0.06607
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,10,1.30747,0.23607,0.88685,0.04673,0.02448,0.01667,3.06783,1.39123,1.33448,0.35641,0.08196,0.06512,0.11455,0.10418,0.00266,0.00156,0.01253,0.00534,0.593,0.05438
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,10,1.35241,0.2578,0.89715,0.0428,0.02578,0.01993,4.5557,3.6289,1.53328,0.52803,0.09874,0.09393,0.13938,0.15617,0.00244,0.00138,0.01341,0.00932,0.616,0.07058
