Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,mse,MSE,1.0,0.0,100,1.11167,0.86733,0.05174,9.38096,2.51625,0.3525,0.47755,0.00951,0.04411,0.65
1,42,mse,MSE,1.0,0.0,300,1.86209,0.9297,0.0765,1.67397,0.84072,0.0235,0.01519,0.00186,0.02032,0.53333
1,42,mse,MSE,1.0,0.0,500,1.49964,0.90043,0.03441,1.90995,0.96912,0.05539,0.03607,0.00172,0.01089,0.51
2,43,hsic,HSIC,0.0,1.0,100,1.52093,0.92977,0.23395,13.69049,2.64407,0.53224,0.64094,0.00653,0.09522,0.7
2,43,hsic,HSIC,0.0,1.0,300,2.64069,1.26598,0.04025,17.07375,2.85591,0.34287,0.52993,0.00869,0.05794,0.73333
2,43,hsic,HSIC,0.0,1.0,500,4.13805,1.61419,0.50258,16.62846,2.91033,0.3824,0.53707,0.00544,0.04418,0.84
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.32004,0.88596,0.21406,2.9817,1.31199,0.10285,0.13873,0.00868,0.05112,0.55
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.27122,0.888,0.23226,2.04073,1.08012,0.09135,0.10776,0.00642,0.04298,0.55
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.19343,0.86307,0.22509,1.96052,1.05047,0.09751,0.10526,0.00652,0.04164,0.55
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.00872,0.79165,0.18204,1.8719,1.03873,0.07371,0.11135,0.00643,0.03588,0.55
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.91517,0.75114,0.1565,1.64133,0.98337,0.07219,0.09199,0.00523,0.0314,0.55
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.73421,0.68024,0.08345,1.7697,1.01615,0.07747,0.10528,0.00445,0.02705,0.55
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.29903,0.91284,0.06584,1.55347,0.97226,0.07843,0.08579,0.00383,0.01992,0.6
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.9639,0.75714,0.06618,1.50639,0.96284,0.08196,0.08037,0.00333,0.02113,0.6
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.8857,0.72774,0.06327,1.51485,0.96263,0.0785,0.07008,0.00307,0.02028,0.5
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.10383,0.8406,0.02322,2.13395,1.11735,0.06381,0.0933,0.00227,0.01564,0.56667
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.1129,0.83845,0.0222,1.55613,0.98897,0.03664,0.06176,0.00248,0.01478,0.51667
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.10769,0.83191,0.0258,1.43873,0.92027,0.03422,0.05459,0.00232,0.01471,0.55
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.09567,0.82845,0.02873,1.48714,0.86618,0.02054,0.03994,0.00253,0.01158,0.55
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.09883,0.82782,0.02377,1.45985,0.88195,0.02995,0.04607,0.00253,0.01338,0.53333
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.10543,0.83292,0.03002,1.43059,0.86892,0.02731,0.03907,0.00255,0.01486,0.51667
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.09093,0.82555,0.02923,1.42333,0.86121,0.02779,0.03103,0.00247,0.01766,0.58333
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.10975,0.83788,0.03115,1.42086,0.85842,0.03095,0.02803,0.00239,0.01849,0.58333
