Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,10,1.41825,0.49097,0.80373,0.09082,0.10477,0.07377,2.99577,3.03566,0.89354,0.10696,0.09925,0.03158,0.09773,0.03165,0.00199,0.00063,0.0229,0.01922,0.647,0.05677
0.0,1.0,hsic,HSIC,10,2.47454,0.96351,1.16002,0.28352,0.07985,0.0314,12.44833,10.65044,1.66353,0.23311,0.12675,0.10076,0.20241,0.13338,0.00335,0.00124,0.08128,0.03059,0.753,0.05559
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,10,1.41862,0.47869,0.80229,0.08782,0.10528,0.07273,2.90763,3.05673,0.88468,0.10232,0.09204,0.02754,0.09188,0.0279,0.00191,0.00061,0.02311,0.01909,0.652,0.06529
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,10,1.38906,0.43103,0.79621,0.07906,0.10331,0.06738,3.0446,3.03716,0.89958,0.1026,0.09034,0.02548,0.09669,0.02797,0.00202,0.00054,0.02329,0.01881,0.662,0.06391
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,10,1.36599,0.38851,0.79095,0.06773,0.10048,0.05785,3.06057,3.02686,0.90204,0.10428,0.08637,0.02407,0.09585,0.02776,0.00203,0.00054,0.02339,0.01849,0.658,0.06546
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,10,1.36087,0.3806,0.79016,0.06433,0.0989,0.05447,3.06314,3.03113,0.90403,0.10335,0.08469,0.02505,0.09533,0.02746,0.00203,0.00057,0.02372,0.01832,0.647,0.05755
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,10,1.31022,0.34736,0.77882,0.05436,0.08464,0.01785,3.05284,3.0457,0.89977,0.10585,0.08201,0.0241,0.09308,0.02699,0.00204,0.00059,0.02336,0.0186,0.649,0.06607
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,10,1.34243,0.40994,0.78217,0.05699,0.08341,0.01756,3.08276,3.00204,0.91902,0.0956,0.08429,0.03198,0.09525,0.02331,0.00195,0.00065,0.02433,0.01841,0.662,0.06443
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,10,1.34955,0.41388,0.78373,0.05798,0.08285,0.0178,2.93685,2.91773,0.92713,0.09973,0.08446,0.03296,0.09332,0.02634,0.00191,0.0007,0.02411,0.01809,0.66,0.05185
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,10,1.3935,0.46452,0.79358,0.05752,0.07986,0.02101,2.9737,2.94248,0.95735,0.10208,0.08512,0.03031,0.09472,0.02793,0.00198,0.00074,0.02455,0.01764,0.663,0.05774
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,10,1.41162,0.41596,0.80804,0.0572,0.07693,0.01817,2.94127,2.85785,1.00533,0.08716,0.08337,0.02646,0.09171,0.01941,0.00207,0.00081,0.0254,0.01794,0.666,0.05873
