Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.0,0.26007,0.33698,0.19797,0.30621,0.46843,0.06275,,0.00909,0.05573,0.7
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.0,0.26998,0.35023,0.21696,0.30747,0.47009,0.06079,,0.00906,0.05704,0.675
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.0,0.27047,0.35303,0.22137,0.31222,0.47404,0.06203,,0.00954,0.0583,0.725
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.0,0.27372,0.3581,0.22741,0.3218,0.47901,0.09147,,0.01222,0.06069,0.75
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,0.0,0.27183,0.34122,0.16006,0.92379,0.70685,0.09999,,0.01259,0.02824,0.575
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.0,0.264,0.3361,0.18129,0.92979,0.68572,0.09551,,0.01231,0.03227,0.625
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.0,0.2614,0.34062,0.19498,0.9318,0.7009,0.11886,,0.01466,0.03481,0.7
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.0,0.26316,0.3348,0.19248,0.94177,0.73089,0.13408,,0.01569,0.0377,0.75
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.0,0.26204,0.33638,0.19507,0.93209,0.74832,0.10913,,0.01455,0.03853,0.675
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.0,0.26007,0.33698,0.19797,0.92258,0.73325,0.09889,,0.01241,0.03537,0.7
