Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
4,45,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,0.0,0.81672,0.77354,0.06256,2.28281,1.34549,0.13528,,0.00895,0.12927,0.625
4,45,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.0,0.80709,0.77732,0.04947,2.21362,1.32331,0.12739,,0.00947,0.1325,0.675
4,45,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.0,0.76754,0.75909,0.04038,2.09935,1.28124,0.12852,,0.00956,0.1279,0.6
4,45,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.0,0.73114,0.74207,0.03144,1.9444,1.22235,0.12984,,0.00967,0.11954,0.625
4,45,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.0,0.7128,0.73544,0.03345,1.69871,1.12386,0.1315,,0.00959,0.10681,0.65
4,45,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.0,0.71228,0.73342,0.04008,1.50466,1.04775,0.13195,,0.00985,0.09502,0.65
4,45,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.0,0.71941,0.73648,0.05007,1.48205,1.03938,0.13355,,0.00987,0.09325,0.6
4,45,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.0,0.7312,0.73885,0.06332,1.48771,1.0421,0.13659,,0.00989,0.10059,0.65
4,45,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.0,0.74651,0.74205,0.08081,1.49085,1.04311,0.13744,,0.00997,0.09957,0.65
4,45,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.0,0.62737,0.65621,0.02244,1.36081,1.01734,0.04259,,0.0054,0.08551,0.75
4,45,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.0,0.63044,0.66036,0.02228,1.14487,0.91008,0.04479,,0.00558,0.08739,0.725
4,45,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.0,0.63534,0.66495,0.02177,1.12169,0.89655,0.04459,,0.00546,0.08816,0.7
4,45,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.0,0.63832,0.66882,0.02152,1.12211,0.89637,0.04436,,0.00534,0.08957,0.7
4,45,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.0,0.64794,0.67576,0.01884,1.13118,0.90103,0.04424,,0.00516,0.0926,0.7
4,45,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.0,0.64498,0.67996,0.01927,1.15046,0.91087,0.04451,,0.00489,0.09714,0.675
4,45,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.0,0.63297,0.68367,0.0233,1.18076,0.92523,0.04551,,0.00455,0.10424,0.725
4,45,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.0,0.63894,0.68749,0.02012,1.52029,1.05751,0.1018,,0.01135,0.10128,0.675
4,45,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.0,0.64908,0.6885,0.02891,1.31697,0.98643,0.05673,,0.00384,0.1251,0.7
