Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.0,3.16114,1.14545,0.09113,1.10683,0.62779,0.02023,,0.0024,0.02344,0.625
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.0,2.87641,1.11988,0.07495,1.02572,0.6356,0.02527,,0.00214,0.0238,0.575
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.0,2.78838,1.1206,0.07702,0.59905,0.61816,0.02356,,0.00161,0.02776,0.65
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.0,2.71577,1.12118,0.07917,0.57916,0.61247,0.02839,,0.00357,0.02812,0.625
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,0.0,1.47997,0.94689,0.05685,1.76567,1.16291,0.16008,,0.01213,0.09993,0.625
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.0,5.20881,1.17048,0.07944,0.66758,0.64305,0.02487,,0.00144,0.03228,0.6
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.0,3.58879,1.11529,0.07234,0.6649,0.6433,0.02318,,0.00146,0.03216,0.6
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.0,3.48235,1.13402,0.0851,1.35921,0.99711,0.1909,,0.01148,0.09119,0.7
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.0,3.32157,1.14393,0.09317,0.65266,0.64593,0.01161,,0.00137,0.03248,0.55
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.0,3.16114,1.14545,0.09113,1.25917,0.72101,0.02509,,0.00266,0.03822,0.575
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.0,2.87641,1.11988,0.07495,1.19019,0.72122,0.03693,,0.00256,0.03791,0.7
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.0,2.78838,1.1206,0.07702,0.7155,0.67027,0.04427,,0.00178,0.0338,0.65
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.0,2.71577,1.12118,0.07917,0.67997,0.66651,0.05421,,0.00227,0.03374,0.675
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.0,1.7442,0.95504,0.03136,1.61671,1.11185,0.1461,,0.01148,0.05327,0.725
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.0,1.7545,0.95708,0.02956,1.00539,0.81617,0.17547,,0.00998,0.07184,0.725
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.0,1.71076,0.94786,0.02885,0.98533,0.80812,0.16948,,0.00992,0.0726,0.725
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.0,1.71458,0.94729,0.03009,0.95862,0.79666,0.1619,,0.00991,0.07375,0.725
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.0,1.70523,0.94332,0.02994,0.93551,0.7868,0.15654,,0.01,0.07596,0.7
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.0,1.69848,0.94041,0.02978,0.92217,0.78142,0.15268,,0.01,0.07817,0.7
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.0,1.67729,0.93663,0.03088,0.9213,0.78311,0.15068,,0.01002,0.08077,0.725
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.0,1.67359,0.93659,0.03169,0.93438,0.79223,0.15136,,0.01018,0.08413,0.725
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.0,1.68887,0.93918,0.03467,0.95924,0.80755,0.15204,,0.01031,0.08783,0.775
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,0.0,1.7442,0.95504,0.03136,2.25568,1.29902,0.28579,,0.01539,0.08375,0.7
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,0.0,1.7545,0.95708,0.02956,1.11134,0.8681,0.28464,,0.01335,0.06709,0.725
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,0.0,1.71076,0.94786,0.02885,1.06227,0.84533,0.27473,,0.0132,0.06503,0.7
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,0.0,1.71458,0.94729,0.03009,1.0104,0.8204,0.2647,,0.01307,0.06351,0.7
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,0.0,1.70523,0.94332,0.02994,0.96403,0.79773,0.2561,,0.01304,0.06296,0.725
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,0.0,1.69848,0.94041,0.02978,0.92637,0.78001,0.24767,,0.01294,0.06216,0.7
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,0.0,1.67729,0.93663,0.03088,0.90057,0.76792,0.2408,,0.01283,0.06166,0.7
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,0.0,1.67359,0.93659,0.03169,0.89156,0.76312,0.23633,,0.01287,0.0629,0.7
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,0.0,1.68887,0.93918,0.03467,0.89491,0.76348,0.23217,,0.01293,0.065,0.7
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.0,1.82176,1.00941,0.05099,0.72474,0.7163,0.01999,,0.00493,0.05006,0.75
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,1.0,1.68568,0.98005,0.03869,0.98069,0.84318,0.04402,,0.00549,0.08388,0.725
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,1.0,1.58737,0.96275,0.03177,1.1678,0.92918,0.06903,,0.00718,0.09772,0.725
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,1.0,1.57812,0.96283,0.03083,0.59137,0.62013,0.01081,,0.00245,0.02967,0.675
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,1.0,1.56437,0.96126,0.02993,0.59072,0.62023,0.01043,,0.00257,0.03036,0.675
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,1.0,1.54948,0.96518,0.03024,0.59959,0.62426,0.01173,,0.00233,0.03062,0.75
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,1.0,1.51935,0.96044,0.0271,0.60746,0.62923,0.01337,,0.00226,0.03123,0.7
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,1.0,1.51041,0.95866,0.02833,0.95416,0.81736,0.09019,,0.00813,0.0612,0.65
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,1.0,1.50614,0.95794,0.03052,0.97449,0.82302,0.11416,,0.00944,0.05691,0.6
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,0.0,1.82176,1.00941,0.05099,0.5723,0.60937,0.01678,,0.00479,0.02788,0.7
