Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.0,0.93616,0.82792,0.02454,1.0677,0.86928,0.04803,,0.00831,0.0113,0.575
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.0,0.92904,0.82527,0.0238,1.12039,0.8886,0.06493,,0.0102,0.01101,0.625
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.0,0.93054,0.82617,0.02499,1.14044,0.90532,0.03209,,0.00635,0.00787,0.575
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.0,0.92265,0.82293,0.02378,1.13177,0.90222,0.03471,,0.00682,0.00815,0.575
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,0.0,0.95064,0.83132,0.02531,2.59324,1.27266,0.07641,,0.00516,0.03366,0.675
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.0,0.95562,0.83458,0.02581,1.93462,1.10972,0.04516,,0.00449,0.04146,0.675
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.0,0.95256,0.83372,0.02562,1.79602,1.07417,0.04613,,0.00453,0.04027,0.65
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.0,0.94354,0.83059,0.02336,1.7888,1.07238,0.0482,,0.00465,0.03951,0.625
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.0,0.94465,0.8311,0.02529,1.40791,0.96867,0.03638,,0.00541,0.02255,0.65
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.0,0.93616,0.82792,0.02454,1.30528,0.94377,0.03098,,0.00589,0.02307,0.625
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.0,0.92904,0.82527,0.0238,1.38102,0.97534,0.04375,,0.00818,0.02624,0.55
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.0,0.93054,0.82617,0.02499,1.46304,0.99643,0.03394,,0.00433,0.02484,0.65
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.0,0.92265,0.82293,0.02378,1.43882,0.99069,0.03264,,0.00455,0.02552,0.675
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.0,1.05765,0.87644,0.05387,1.51077,0.99427,0.04652,,0.00541,0.00996,0.575
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.0,1.06086,0.87537,0.04746,1.32788,0.94874,0.04962,,0.00547,0.01021,0.575
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.0,1.06712,0.87708,0.04505,0.9797,0.8535,0.00828,,0.00238,0.01082,0.625
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.0,1.07744,0.88013,0.04576,1.18245,0.91312,0.04539,,0.00525,0.01026,0.575
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.0,1.0554,0.87262,0.03886,1.15102,0.90518,0.04231,,0.0052,0.00964,0.575
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.0,1.03672,0.86592,0.03394,1.13446,0.90222,0.04108,,0.00505,0.00976,0.575
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.0,1.0252,0.86127,0.03038,1.12458,0.90162,0.03975,,0.00486,0.00983,0.625
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.0,1.0137,0.85624,0.02671,0.97585,0.85302,0.00778,,0.00236,0.0115,0.575
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.0,1.00557,0.85242,0.02407,1.10637,0.89705,0.03396,,0.00432,0.0096,0.625
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,0.0,1.05765,0.87644,0.05387,2.2142,1.17597,0.07749,,0.00533,0.01836,0.7
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,0.0,1.06086,0.87537,0.04746,1.97473,1.11808,0.08291,,0.00563,0.0211,0.625
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,0.0,1.06712,0.87708,0.04505,0.94968,0.84961,0.01083,,0.00308,0.01079,0.575
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,0.0,1.07744,0.88013,0.04576,1.65553,1.0428,0.08244,,0.00564,0.01987,0.65
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,0.0,1.0554,0.87262,0.03886,1.54902,1.01655,0.08086,,0.00563,0.01911,0.625
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,0.0,1.03672,0.86592,0.03394,1.46991,0.99665,0.07882,,0.00553,0.01773,0.675
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,0.0,1.0252,0.86127,0.03038,1.42429,0.9856,0.07624,,0.00539,0.01682,0.625
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,0.0,1.0137,0.85624,0.02671,0.9613,0.84824,0.01181,,0.00331,0.0105,0.55
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,0.0,1.00557,0.85242,0.02407,1.38827,0.9773,0.07152,,0.00505,0.01574,0.625
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.0,0.90562,0.81235,0.01523,1.63694,1.03325,0.04291,,0.00592,0.00732,0.675
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,1.0,0.92329,0.82085,0.01798,1.39745,0.9614,0.04473,,0.00603,0.00747,0.725
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,1.0,0.91909,0.81927,0.01671,1.29723,0.93563,0.04548,,0.00588,0.0076,0.65
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,1.0,0.91482,0.81731,0.0157,1.22526,0.91706,0.04279,,0.00577,0.00744,0.625
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,1.0,0.91193,0.81605,0.0149,1.17833,0.90566,0.04075,,0.0058,0.00727,0.6
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,1.0,0.90963,0.81517,0.01432,1.16152,0.90167,0.0398,,0.00581,0.00714,0.6
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,1.0,0.90808,0.81463,0.01395,1.149,0.89938,0.04019,,0.00578,0.00716,0.6
