Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,10,1.86427,1.58726,0.79666,0.06627,0.03103,0.02947,1.64659,0.41771,0.91608,0.11535,0.06036,0.03568,0.09329,0.08715,0.00206,0.00093,0.0308,0.00481,0.71,0.02906
0.0,1.0,hsic,HSIC,10,2.14836,0.80878,0.91948,0.25392,0.02746,0.02708,38.65636,42.00718,2.62263,1.12878,0.13136,0.0719,0.22967,0.13277,0.00353,0.001,0.14124,0.05078,0.83,0.04497
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,10,1.94867,1.80383,0.79728,0.06982,0.02788,0.02585,1.6256,0.42929,0.90849,0.11403,0.04741,0.03256,0.08508,0.08579,0.00196,0.00097,0.02917,0.00536,0.711,0.04458
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,10,1.763,1.57798,0.79235,0.06739,0.02562,0.0229,1.81236,1.15221,0.91965,0.14494,0.04321,0.03123,0.08363,0.07976,0.00217,0.0011,0.03013,0.00952,0.71,0.04216
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,10,1.15183,0.1796,0.76636,0.0346,0.02099,0.01759,1.74366,1.22626,0.89852,0.15049,0.0358,0.03151,0.06874,0.08034,0.00199,0.00108,0.02795,0.01012,0.702,0.0336
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,10,1.64405,1.57413,0.78685,0.06702,0.02096,0.01734,1.78965,1.20251,0.91989,0.14954,0.03712,0.02974,0.07057,0.07719,0.00221,0.00109,0.02721,0.00938,0.703,0.03268
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,10,1.52809,1.18386,0.78456,0.05994,0.01936,0.01666,1.56981,0.66396,0.89032,0.10254,0.03138,0.02217,0.06143,0.06794,0.0021,0.00073,0.02616,0.00777,0.696,0.04858
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,10,1.29024,0.45527,0.7774,0.04299,0.01876,0.01595,1.48971,0.54508,0.88102,0.10158,0.02846,0.02302,0.05492,0.07064,0.00188,0.00092,0.02459,0.00691,0.698,0.04237
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,10,1.16084,0.19967,0.76986,0.03315,0.01764,0.015,1.40282,0.41597,0.89982,0.11055,0.02763,0.02559,0.04613,0.05229,0.00169,0.00096,0.02405,0.00857,0.708,0.05613
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,10,1.21265,0.24102,0.77899,0.03479,0.01792,0.01468,1.51257,0.43301,0.95185,0.12467,0.02879,0.02508,0.04728,0.05177,0.00185,0.00099,0.02411,0.00786,0.71,0.04876
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,10,1.3629,0.35373,0.79384,0.04313,0.02162,0.01788,2.10739,1.356,1.08722,0.18182,0.03588,0.02467,0.05446,0.05204,0.00232,0.00091,0.02887,0.01303,0.725,0.03979
