Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,10,2.23551,1.42529,0.94235,0.21103,0.14504,0.16645,3.26509,3.90476,1.05568,0.23408,0.14892,0.1178,0.14758,0.10311,0.00422,0.00131,0.06016,0.02425,0.63,0.14181
0.0,1.0,hsic,HSIC,10,2.62607,1.30681,1.02241,0.22553,0.18593,0.18488,19.00732,24.4691,1.97884,0.42882,0.27971,0.20358,0.387,0.17402,0.00577,0.00308,0.14723,0.09552,0.755,0.09265
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,10,2.25921,1.35319,0.95141,0.20216,0.15255,0.16382,3.72652,5.73355,1.05968,0.29233,0.14016,0.10748,0.14819,0.10139,0.00436,0.00119,0.05974,0.02068,0.63,0.13166
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,10,2.26771,1.34334,0.9523,0.20269,0.1558,0.16315,7.20241,16.32724,1.14063,0.47949,0.13558,0.11219,0.15348,0.11713,0.0048,0.00143,0.05702,0.02013,0.65,0.1291
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,10,2.1606,1.31413,0.94136,0.20303,0.14788,0.1639,8.43818,19.23668,1.16634,0.51601,0.13141,0.11061,0.15317,0.12346,0.00491,0.00116,0.0547,0.02116,0.635,0.13344
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,10,2.1901,1.38908,0.94847,0.22445,0.16433,0.15921,9.16213,20.89741,1.1675,0.54771,0.12218,0.10922,0.15407,0.12801,0.00491,0.00105,0.05443,0.01907,0.67,0.09189
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,10,2.1835,1.20648,0.95862,0.19533,0.17254,0.1515,9.20798,21.19656,1.18118,0.54953,0.11639,0.10999,0.15479,0.12951,0.00466,0.00088,0.05904,0.02478,0.635,0.11316
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,10,1.84085,0.96119,0.89929,0.15138,0.13842,0.14551,9.01212,21.28935,1.19693,0.54937,0.12526,0.10818,0.16108,0.12073,0.00452,0.00096,0.06952,0.03692,0.67,0.09487
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,10,2.05565,1.26492,0.94385,0.21255,0.18097,0.17368,8.96961,21.3296,1.18166,0.56321,0.11044,0.08355,0.1451,0.11789,0.00465,0.00112,0.06974,0.03877,0.68,0.09775
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,10,1.95789,1.1641,0.92306,0.20481,0.15887,0.17686,8.60302,21.38658,1.19876,0.5638,0.09697,0.06337,0.13194,0.1139,0.00482,0.00111,0.07317,0.04262,0.655,0.0956
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,10,2.1123,1.18513,0.96467,0.18335,0.20758,0.20055,9.59851,21.18231,1.34353,0.54223,0.18342,0.18715,0.22676,0.17481,0.00462,0.00208,0.08324,0.04566,0.665,0.09443
