Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,mse,MSE,1.0,0.0,100,1.79654,1.1337,0.1964,1.20275,0.92479,0.09738,0.04409,0.00176,0.05241,0.6
1,42,mse,MSE,1.0,0.0,300,1.04384,0.85041,0.04539,1.07223,0.87388,0.03491,0.01551,0.00136,0.02142,0.7
1,42,mse,MSE,1.0,0.0,500,1.02993,0.87264,0.00913,1.32199,0.93517,0.03581,0.02051,0.00083,0.01217,0.65
2,43,hsic,HSIC,0.0,1.0,100,2.64773,1.3747,0.08391,6.65296,2.00989,0.42382,0.57825,0.01066,0.06462,0.6
2,43,hsic,HSIC,0.0,1.0,300,2.06679,1.17557,0.01058,5.57808,1.70272,0.27069,0.36395,0.00514,0.05084,0.66667
2,43,hsic,HSIC,0.0,1.0,500,1.57318,1.03017,0.02332,6.2974,1.85221,0.34791,0.39271,0.00682,0.0443,0.8
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,2.14791,1.24986,0.02731,1.96015,1.18742,0.03377,0.04727,0.00505,0.05844,0.55
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.91994,1.17718,0.03018,1.80463,1.13624,0.03242,0.05035,0.00522,0.06314,0.6
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.50428,1.06646,0.0171,1.62556,1.07201,0.0318,0.04496,0.00402,0.07309,0.55
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.48115,1.05858,0.01735,1.53202,1.03641,0.03125,0.03941,0.00375,0.07443,0.6
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.48286,1.05937,0.0184,1.44263,0.99957,0.02969,0.03259,0.00342,0.07619,0.5
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.48234,1.05995,0.01927,1.39295,0.98168,0.02897,0.02686,0.0031,0.0777,0.5
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.52819,1.07451,0.02595,1.3499,0.9555,0.02715,0.02796,0.00279,0.08164,0.6
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.58751,1.09276,0.03625,1.19909,0.91588,0.02459,0.03271,0.0025,0.08198,0.55
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.54867,1.0809,0.03136,1.23108,0.93,0.02134,0.02827,0.00271,0.08526,0.55
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.07288,0.90587,0.01023,1.67117,1.07916,0.02513,0.03922,0.00148,0.01559,0.53333
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.04319,0.89162,0.00657,1.57276,1.04723,0.02549,0.03945,0.00151,0.01518,0.55
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.03693,0.88761,0.00668,1.52902,1.03357,0.02748,0.0403,0.00154,0.01545,0.5
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.04804,0.89124,0.00804,1.43091,1.00615,0.02085,0.04321,0.00139,0.01544,0.53333
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.04009,0.88691,0.00807,1.37405,0.98952,0.01842,0.043,0.00135,0.01474,0.5
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.03854,0.8864,0.00849,1.2781,0.9654,0.01256,0.04089,0.00121,0.01373,0.5
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.04419,0.88889,0.00954,1.12366,0.89684,0.0031,0.01659,0.00106,0.00956,0.53333
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.04873,0.88977,0.01026,1.11705,0.89502,0.00342,0.01706,0.00101,0.01071,0.55
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.05271,0.89127,0.01072,1.11333,0.89272,0.00375,0.0175,0.00094,0.01124,0.56667
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,0.9921,0.84303,0.02348,1.12288,0.89214,0.0066,0.00964,0.001,0.01131,0.69
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,0.97982,0.83974,0.01993,1.09393,0.88415,0.00706,0.00932,0.001,0.0114,0.67
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,0.97387,0.83791,0.01823,1.70666,1.10176,0.03609,0.0408,0.00101,0.0215,0.7
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,0.97182,0.83734,0.01748,1.06166,0.87374,0.00611,0.00775,0.00091,0.01215,0.65
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,0.97082,0.83712,0.01699,1.06181,0.87282,0.00484,0.00755,0.00091,0.01273,0.68
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,0.97089,0.83691,0.01672,1.04059,0.86837,0.00495,0.00676,0.00084,0.01242,0.63
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,0.97205,0.83725,0.01646,1.03319,0.86618,0.0047,0.00629,0.00078,0.01298,0.69
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,0.97556,0.83859,0.01657,1.02955,0.86585,0.0041,0.00587,0.00076,0.01342,0.64
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,0.97751,0.83943,0.01599,1.02704,0.86679,0.00354,0.00537,0.00074,0.01376,0.7
