Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,0.91039,0.81548,0.01426,1.47538,0.98249,0.03892,0.07429,0.00251,0.00942,0.575
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,0.90877,0.81503,0.0139,1.47762,0.98506,0.03968,0.07509,0.00257,0.00969,0.6
1,42,mse,MSE,1.0,0.0,50,1.03301,0.87063,0.04549,1.24046,0.92957,0.06912,0.02112,0.00188,0.00565,0.575
1,42,mse,MSE,1.0,0.0,100,0.91579,0.8206,0.02331,1.36853,0.96788,0.01822,0.06962,0.00223,0.01331,0.5
1,42,mse,MSE,1.0,0.0,300,1.00114,0.85071,0.02235,1.03458,0.87474,0.00686,0.01161,0.00182,0.00775,0.6
1,42,mse,MSE,1.0,0.0,500,0.90706,0.81454,0.01365,1.47884,0.98625,0.04022,0.07578,0.00262,0.00985,0.525
2,43,hsic,HSIC,0.0,1.0,50,1.31882,0.95596,0.05387,3.40916,1.43308,0.12196,0.19864,0.00492,0.07204,0.725
2,43,hsic,HSIC,0.0,1.0,100,1.07928,0.87784,0.02567,3.6544,1.46097,0.12069,0.20333,0.00513,0.07717,0.675
2,43,hsic,HSIC,0.0,1.0,300,1.28675,0.92389,0.01474,3.53686,1.44755,0.11812,0.19971,0.00531,0.07779,0.65
2,43,hsic,HSIC,0.0,1.0,500,1.06029,0.86861,0.02472,3.51232,1.44628,0.11738,0.19876,0.00594,0.06957,0.675
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.1975,0.91446,0.04339,1.97316,1.12389,0.0431,0.14739,0.00262,0.0157,0.525
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.01572,0.85332,0.03819,1.68449,1.03325,0.04303,0.13967,0.00236,0.01558,0.55
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.01505,0.85898,0.04662,1.71512,1.04877,0.04611,0.13079,0.00225,0.01713,0.525
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.02282,0.86088,0.04903,1.66691,1.03553,0.04521,0.12743,0.00226,0.01577,0.625
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.98153,0.84865,0.0346,1.62711,1.03026,0.04397,0.12281,0.0023,0.01445,0.55
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.06848,0.87799,0.05625,1.60855,1.02918,0.03815,0.105,0.00222,0.01553,0.5
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.06368,0.87648,0.05527,1.587,1.02919,0.04409,0.1061,0.00224,0.01476,0.525
