Dataset,Experiment,Seed,N,MMD,RF Acc
fork-non-linear,3,44,50,0.01519,0.7
fork-non-linear,4,45,50,0.02489,0.875
fork-non-linear,5,46,50,0.01126,0.7
fork-non-linear,6,47,50,0.02166,0.7
fork-non-linear,7,48,50,0.01324,0.675
fork-non-linear,8,49,50,0.01705,0.75
fork-non-linear,9,50,50,0.02657,0.75
fork-non-linear,10,51,50,0.01552,0.675
fork-non-linear,1,42,100,0.01003,0.7
fork-non-linear,2,43,100,0.0105,0.525
fork-non-linear,3,44,100,0.01522,0.55
fork-non-linear,4,45,100,0.01802,0.725
fork-non-linear,5,46,100,0.01534,0.65
fork-non-linear,6,47,100,0.01233,0.6
fork-non-linear,7,48,100,0.02734,0.725
fork-non-linear,8,49,100,0.02224,0.6
fork-non-linear,9,50,100,0.01642,0.65
fork-non-linear,10,51,100,0.01426,0.575
simpson-non-linear,1,42,50,0.0112,0.575
simpson-non-linear,2,43,50,0.01818,0.55
simpson-non-linear,3,44,50,0.02523,0.7
simpson-non-linear,4,45,50,0.01552,0.525
simpson-non-linear,5,46,50,0.01346,0.525
simpson-non-linear,6,47,50,0.01888,0.65
simpson-non-linear,7,48,50,0.01349,0.525
simpson-non-linear,8,49,50,0.01172,0.575
simpson-non-linear,9,50,50,0.01356,0.55
simpson-non-linear,10,51,50,0.02809,0.65
simpson-non-linear,1,42,100,0.0123,0.55
simpson-non-linear,2,43,100,0.01347,0.55
simpson-non-linear,3,44,100,0.01193,0.55
simpson-non-linear,4,45,100,0.00622,0.5
simpson-non-linear,5,46,100,0.00866,0.55
simpson-non-linear,6,47,100,0.01238,0.525
simpson-non-linear,7,48,100,0.00787,0.55
simpson-non-linear,8,49,100,0.01875,0.525
simpson-non-linear,9,50,100,0.01032,0.5
simpson-non-linear,10,51,100,0.01005,0.525
simpson-symprod,1,42,50,0.03352,0.775
simpson-symprod,2,43,50,0.02317,0.625
simpson-symprod,3,44,50,0.03753,0.775
simpson-symprod,4,45,50,0.02345,0.7
simpson-symprod,5,46,50,0.03319,0.85
simpson-symprod,6,47,50,0.02608,0.675
simpson-symprod,7,48,50,0.01541,0.575
simpson-symprod,8,49,50,0.03406,0.7
simpson-symprod,9,50,50,0.03538,0.625
simpson-symprod,10,51,50,0.02286,0.525
simpson-symprod,1,42,100,0.0175,0.6
simpson-symprod,2,43,100,0.02004,0.725
simpson-symprod,3,44,100,0.02242,0.575
simpson-symprod,4,45,100,0.01532,0.625
simpson-symprod,5,46,100,0.01292,0.575
simpson-symprod,6,47,100,0.0304,0.55
simpson-symprod,7,48,100,0.01847,0.6
simpson-symprod,8,49,100,0.0381,0.6
simpson-symprod,9,50,100,0.02974,0.625
simpson-symprod,10,51,100,0.02696,0.55
triangle-linear,1,42,50,0.0082,0.775
triangle-linear,2,43,50,0.01771,0.675
triangle-linear,3,44,50,0.02251,0.65
triangle-linear,4,45,50,0.01862,0.725
triangle-linear,5,46,50,0.02714,0.7
triangle-linear,6,47,50,0.03626,0.7
triangle-linear,7,48,50,0.01237,0.625
triangle-linear,8,49,50,0.01652,0.725
triangle-linear,9,50,50,0.02555,0.675
triangle-linear,10,51,50,0.00867,0.7
triangle-linear,1,42,100,0.01974,0.725
triangle-linear,2,43,100,0.00803,0.7
triangle-linear,3,44,100,0.01543,0.7
triangle-linear,4,45,100,0.02105,0.65
triangle-linear,5,46,100,0.01008,0.55
triangle-linear,6,47,100,0.02118,0.675
triangle-linear,7,48,100,0.00729,0.55
triangle-linear,8,49,100,0.02894,0.65
triangle-linear,9,50,100,0.01417,0.5
triangle-linear,10,51,100,0.01229,0.65
triangle-non-linear,1,42,50,0.0307,0.6
triangle-non-linear,2,43,50,0.01547,0.55
triangle-non-linear,3,44,50,0.02954,0.675
triangle-non-linear,4,45,50,0.01245,0.5
triangle-non-linear,5,46,50,0.03221,0.65
triangle-non-linear,6,47,50,0.02168,0.675
triangle-non-linear,7,48,50,0.01591,0.625
triangle-non-linear,8,49,50,0.03819,0.7
triangle-non-linear,9,50,50,0.04117,0.725
triangle-non-linear,10,51,50,0.02013,0.575
triangle-non-linear,1,42,100,0.01604,0.575
triangle-non-linear,2,43,100,0.02255,0.5
triangle-non-linear,3,44,100,0.01715,0.625
triangle-non-linear,4,45,100,0.01488,0.6
triangle-non-linear,5,46,100,0.0184,0.575
triangle-non-linear,6,47,100,0.01806,0.625
triangle-non-linear,7,48,100,0.01125,0.625
triangle-non-linear,8,49,100,0.02315,0.65
triangle-non-linear,9,50,100,0.02708,0.65
triangle-non-linear,10,51,100,0.01314,0.575
