Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,10,0.92308,0.49204,0.52094,0.07047,0.14593,0.0424,1.97681,1.80257,0.72298,0.08102,0.07352,0.06954,0.04641,0.01611,0.00186,0.00073,0.02925,0.04757,0.719,0.06657
0.0,1.0,hsic,HSIC,10,2.38458,1.69627,0.87271,0.14588,0.11045,0.06043,88.20165,206.79356,1.71232,0.82315,0.092,0.06578,0.06571,0.02461,0.00392,0.00074,0.12957,0.11157,0.812,0.06989
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,10,0.95794,0.51591,0.51668,0.06624,0.13794,0.04301,1.83696,1.49592,0.71278,0.07685,0.05311,0.0471,0.04742,0.01316,0.00198,0.00071,0.02756,0.04458,0.706,0.0667
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,10,0.94131,0.51042,0.51256,0.06507,0.13248,0.04243,1.69866,0.95624,0.71654,0.07611,0.06229,0.05855,0.0482,0.01318,0.00199,0.00074,0.02344,0.02977,0.715,0.05563
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,10,0.98506,0.47305,0.52054,0.06036,0.132,0.03986,1.91628,1.3564,0.72194,0.08224,0.05958,0.05605,0.04782,0.01263,0.00194,0.00074,0.02733,0.0407,0.719,0.05801
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,10,0.99705,0.53477,0.52067,0.06358,0.1293,0.03856,1.94958,1.37876,0.72262,0.07947,0.049,0.0368,0.04628,0.0136,0.00217,0.00067,0.02696,0.04109,0.711,0.06967
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,10,1.04107,0.59228,0.52627,0.06791,0.12749,0.03954,2.0121,1.50461,0.72096,0.08199,0.0447,0.03434,0.04632,0.01528,0.00214,0.00069,0.02782,0.04305,0.717,0.05438
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,10,1.04998,0.60941,0.5304,0.07063,0.12572,0.03979,2.16604,2.01445,0.72287,0.08432,0.04516,0.03132,0.04324,0.01429,0.00206,0.00062,0.0305,0.04939,0.714,0.06275
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,10,1.07917,0.65132,0.53272,0.07355,0.12277,0.0397,2.6568,3.08748,0.73677,0.09752,0.04361,0.03104,0.04222,0.01478,0.0021,0.00076,0.03404,0.05868,0.712,0.06546
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,10,1.15172,0.72153,0.54204,0.07784,0.12038,0.03865,3.45217,6.15108,0.74494,0.10856,0.05181,0.04273,0.04068,0.01363,0.00206,0.00045,0.03895,0.07153,0.719,0.05953
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,10,1.30282,1.04626,0.5796,0.05102,0.09658,0.04812,4.20563,8.24146,0.75247,0.13747,0.0408,0.0219,0.03941,0.01133,0.00198,0.00045,0.04391,0.07873,0.708,0.08377
