Experimento,beta_optima,MAE(Z) beta=0,MAE(Z) beta_optima,"HSIC(Z,X) beta=0","HSIC(Z,X) beta_optima","HSIC(Z,Y) beta=0","HSIC(Z,Y) beta_optima",RF Acc beta=0,RF Acc beta_optima,Criterio,Nota
Aditivo Gaussiano,0.1,0.954928,0.956724,0.039316000000000004,0.039251999999999995,0.0673575,0.0687175,0.6012500000000001,0.595,mejor compromiso (ninguna beta evita empeorar alguna metrica),
Aditivo Exponencial,0.3,0.8165855000000001,0.7717025,0.057423,0.046025500000000004,0.08823349999999999,0.0612765,0.635,0.6487499999999999,mejor compromiso (ninguna beta evita empeorar alguna metrica),
Aditivo Gamma,0.1,0.835688,0.840816,0.1055815,0.0989575,0.09930449999999999,0.0921555,0.6174999999999999,0.5962500000000001,mejor compromiso (ninguna beta evita empeorar alguna metrica),
Aditivo Uniforme,0.1,0.9562295000000001,0.9507825000000001,0.032186,0.0308145,0.0479735,0.046325500000000006,0.585,0.5700000000000001,domina al baseline (mejora >=1 metrica sin empeorar ninguna),
Multiplicativo Gaussiano,0.4,0.797316,0.7745865000000001,0.081562,0.07158,0.07296050000000001,0.064284,0.59875,0.61625,mejor compromiso (ninguna beta evita empeorar alguna metrica),
Multiplicativo Exponencial,0.8,0.696903,0.6513145,0.2121055,0.1023755,0.0647385,0.0423915,0.73125,0.7212500000000001,domina al baseline (mejora >=1 metrica sin empeorar ninguna),
Multiplicativo Gamma,0.4,0.890714,0.7095425000000001,0.18812299999999998,0.12031049999999999,0.131721,0.1087195,0.63625,0.625,domina al baseline (mejora >=1 metrica sin empeorar ninguna),
Multiplicativo Uniforme,0.8,0.7144429999999999,0.728752,0.0907865,0.082398,0.09777949999999999,0.087354,0.60625,0.6012500000000001,mejor compromiso (ninguna beta evita empeorar alguna metrica),
