Experimento,beta_optima,MAE(Z) beta=0,MAE(Z) beta_optima,"HSIC(Z,X) beta=0","HSIC(Z,X) beta_optima",RF Acc beta=0,RF Acc beta_optima,Criterio
Aditivo Gaussiano,0.1,0.9216300000000001,0.9119870000000001,0.06240949999999999,0.055562999999999994,0.5825,0.54875,menor RF Acc media
Aditivo Exponencial,0.4,0.814904,0.8377829999999999,0.10229099999999999,0.0908615,0.665,0.665,"empate en RF Acc media entre 3 betas, desempate por menor MMD"
Aditivo Gamma,0.6,0.8519914999999999,0.8800044999999999,0.17135450000000002,0.166754,0.71375,0.6950000000000001,menor RF Acc media
Aditivo Uniforme,0.8,0.9257500000000001,0.958855,0.048806,0.057269,0.6075,0.60375,menor RF Acc media
Multiplicativo Gaussiano,0.7,0.712614,0.5999410000000001,0.352426,0.165107,0.6599999999999999,0.64,menor RF Acc media
Multiplicativo Exponencial,0.2,0.538477,0.46447099999999997,0.354815,0.24658600000000003,0.76,0.7125,"empate en RF Acc media entre 2 betas, desempate por menor MMD"
Multiplicativo Gamma,0.3,0.580753,0.51866,0.406937,0.29443600000000003,0.755,0.71,"empate en RF Acc media entre 2 betas, desempate por menor MMD"
Multiplicativo Uniforme,0.5,0.5280910000000001,0.5267470000000001,0.154662,0.152295,0.5675,0.5425,menor RF Acc media
