Experimento,beta_optima,MAE(Z) beta=0,MAE(Z) beta_optima,"HSIC(Z,X) beta=0","HSIC(Z,X) beta_optima",RF Acc beta=0,RF Acc beta_optima,Criterio
Aditivo Gaussiano,0.8,0.9085875,0.9779220000000001,0.0399725,0.0390235,0.5675,0.5525,Beta importada de Resumen_Observacional (N=100)
Aditivo Exponencial,0.4,0.8332165,0.8227869999999999,0.09124099999999999,0.063249,0.64625,0.6675,Beta importada de Resumen_Observacional (N=100)
Aditivo Gamma,0.6,0.790086,0.8835084999999999,0.128344,0.10798699999999999,0.6925,0.69375,Beta importada de Resumen_Observacional (N=100)
Aditivo Uniforme,0.5,0.9026764999999999,0.909624,0.03441,0.0394755,0.58,0.5725,Beta importada de Resumen_Observacional (N=100)
Multiplicativo Gaussiano,0.2,0.550604,0.544332,0.142469,0.12889699999999998,0.6425,0.6425,Beta importada de Resumen_Observacional (N=100)
Multiplicativo Exponencial,0.6,0.477382,0.470565,0.31282,0.20815099999999997,0.725,0.745,Beta importada de Resumen_Observacional (N=100)
Multiplicativo Gamma,0.3,0.4617,0.38469600000000004,0.260977,0.10876000000000001,0.725,0.71,Beta importada de Resumen_Observacional (N=100)
Multiplicativo Uniforme,0.7,0.5112460000000001,0.529829,0.116394,0.155968,0.5475,0.5549999999999999,Beta importada de Resumen_Observacional (N=100)
