Familia,beta_optima,MMD Obs beta=0,MMD Obs beta_optima,RF Acc Obs beta=0,RF Acc Obs beta_optima,MMD Int beta=0,MMD Int beta_optima,MMD Int p_valor,RF Acc Int beta=0,RF Acc Int beta_optima,RF Acc Int p_valor,MSE CF beta=0,MSE CF beta_optima,MSE CF p_valor,MAE CF beta=0,MAE CF beta_optima,MAE CF p_valor,n_pares
KAN,0.2,0.007959217007260877,0.007855352930334236,0.6,0.6333333333333333,0.019703551651247018,0.019706823683819093,8.944222467665193e-35,0.5653409090909091,0.5731439393939394,0.999999999999985,0.11447706368829395,0.1171712678949434,0.9998318793112365,0.0814572418072395,0.08236525785972376,0.9999901253247733,660
KAAM,0.1,0.007957054003075559,0.007744054798364597,0.6083333333333333,0.5666666666666667,0.019957283228544634,0.019869932476271522,3.936411523932755e-37,0.5686616161616161,0.5731565656565656,0.9999974693480663,0.11635005636392044,0.11909531431089818,0.9999999999863949,0.08343847942240547,0.08439309166771011,0.9999999999759691,660
