N,beta_optima,MMD beta=0,MMD beta_optima,MMD p_valor,RF Acc beta=0,RF Acc beta_optima,RF Acc p_valor,n_pares,Cobertura,Criterio,Nota
50,0.3,0.04754427272727273,0.046122363636363635,0.001741549257280196,0.6897727272727273,0.6834090909090909,0.09468870523552442,110,11/11,menor RF Acc media,
100,0.1,0.043788272727272724,0.043909727272727274,0.119485964239257,0.6613636363636364,0.6681818181818182,0.9443457685695507,110,11/11,menor RF Acc media,
