Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
4-chain-linear,100,0.4,0.6,hybrid,10,0.79,0.05676,0.07848,0.09599,0.58189,0.04823
4-chain-linear,100,0.5,0.5,hybrid,10,0.7925,0.06977,0.07862,0.09577,0.57661,0.04683
4-chain-linear,100,0.6,0.4,hybrid,10,0.8,0.05774,0.07855,0.09568,0.57641,0.04646
4-chain-linear,100,0.7,0.3,hybrid,10,0.815,0.04743,0.07851,0.09596,0.57825,0.048
4-chain-linear,100,0.8,0.2,hybrid,10,0.8225,0.03988,0.07808,0.0957,0.57015,0.03231
5-chain-linear,50,0.0,1.0,mse,10,0.6575,0.03918,0.03145,0.00743,0.82109,0.03444
5-chain-linear,50,0.1,0.9,hybrid,10,0.6575,0.03736,0.03067,0.00695,0.82,0.03282
5-chain-linear,50,0.2,0.8,hybrid,10,0.6725,0.05062,0.03003,0.00676,0.81961,0.03233
5-chain-linear,50,0.3,0.7,hybrid,10,0.67,0.04534,0.03008,0.00655,0.81642,0.03082
5-chain-linear,50,0.4,0.6,hybrid,10,0.6725,0.05707,0.03025,0.00627,0.81485,0.03072
5-chain-linear,50,0.5,0.5,hybrid,10,0.6775,0.04632,0.02955,0.0067,0.81438,0.0304
5-chain-linear,50,0.6,0.4,hybrid,10,0.7,0.04564,0.02959,0.00663,0.81144,0.02678
5-chain-linear,50,0.7,0.3,hybrid,10,0.6975,0.05707,0.02876,0.00606,0.80636,0.02339
5-chain-linear,50,0.8,0.2,hybrid,10,0.6975,0.03426,0.0291,0.00604,0.80496,0.02313
5-chain-linear,100,0.0,1.0,mse,10,0.6325,0.0578,0.02628,0.00308,0.79437,0.01249
5-chain-linear,100,0.1,0.9,hybrid,10,0.6225,0.06286,0.02499,0.00241,0.79545,0.01198
5-chain-linear,100,0.2,0.8,hybrid,10,0.635,0.04441,0.02514,0.0041,0.79166,0.01048
5-chain-linear,100,0.3,0.7,hybrid,10,0.61,0.02687,0.0249,0.00322,0.79098,0.01097
5-chain-linear,100,0.4,0.6,hybrid,10,0.63,0.04378,0.02476,0.00306,0.79012,0.01144
5-chain-linear,100,0.5,0.5,hybrid,10,0.655,0.04216,0.02446,0.00259,0.78804,0.01046
5-chain-linear,100,0.6,0.4,hybrid,10,0.655,0.04378,0.02413,0.00262,0.78778,0.01054
5-chain-linear,100,0.7,0.3,hybrid,10,0.665,0.04743,0.02421,0.00306,0.78563,0.01122
5-chain-linear,100,0.8,0.2,hybrid,10,0.665,0.04116,0.02393,0.00204,0.78504,0.01178
collider-linear,50,0.0,1.0,mse,10,0.6325,0.05407,0.04017,0.00559,0.4846,0.10077
collider-linear,50,0.1,0.9,hybrid,10,0.6375,0.07477,0.04017,0.00638,0.47414,0.10452
collider-linear,50,0.2,0.8,hybrid,10,0.6175,0.07642,0.03998,0.00627,0.45052,0.08981
collider-linear,50,0.3,0.7,hybrid,10,0.6125,0.06897,0.04028,0.00603,0.48192,0.10242
collider-linear,50,0.4,0.6,hybrid,10,0.645,0.05869,0.03912,0.00547,0.47597,0.1129
collider-linear,50,0.5,0.5,hybrid,10,0.63,0.05986,0.03872,0.00482,0.48148,0.11514
collider-linear,50,0.6,0.4,hybrid,10,0.6175,0.07173,0.03737,0.00709,0.48592,0.12885
collider-linear,50,0.7,0.3,hybrid,10,0.66,0.05164,0.03896,0.00559,0.51892,0.12699
collider-linear,50,0.8,0.2,hybrid,10,0.6525,0.07115,0.03852,0.00765,0.48902,0.09223
collider-linear,100,0.0,1.0,mse,10,0.6125,0.05303,0.03564,0.00573,0.46145,0.12804
