Dataset,Experiment,Seed,N,MMD,RF Acc
fork-non-linear,3,44,50,0.01407,0.725
fork-non-linear,4,45,50,0.01942,0.775
fork-non-linear,5,46,50,0.0189,0.775
fork-non-linear,6,47,50,0.0227,0.675
fork-non-linear,7,48,50,0.01798,0.75
fork-non-linear,8,49,50,0.0132,0.775
fork-non-linear,9,50,50,0.01557,0.7
fork-non-linear,10,51,50,0.02108,0.775
fork-non-linear,1,42,100,0.01004,0.825
fork-non-linear,2,43,100,0.01445,0.7
fork-non-linear,3,44,100,0.0105,0.525
fork-non-linear,4,45,100,0.01105,0.6
fork-non-linear,5,46,100,0.01271,0.75
fork-non-linear,6,47,100,0.01214,0.775
fork-non-linear,7,48,100,0.02663,0.625
fork-non-linear,8,49,100,0.01963,0.625
fork-non-linear,9,50,100,0.02899,0.75
fork-non-linear,10,51,100,0.01266,0.625
simpson-non-linear,1,42,50,0.01689,0.6
simpson-non-linear,2,43,50,0.04682,0.65
simpson-non-linear,3,44,50,0.04405,0.7
simpson-non-linear,4,45,50,0.01516,0.75
simpson-non-linear,5,46,50,0.01398,0.725
simpson-non-linear,6,47,50,0.04373,0.725
simpson-non-linear,7,48,50,0.01578,0.65
simpson-non-linear,8,49,50,0.0144,0.7
simpson-non-linear,9,50,50,0.01238,0.6
simpson-non-linear,10,51,50,0.0183,0.725
simpson-non-linear,1,42,100,0.01348,0.7
simpson-non-linear,2,43,100,0.04355,0.775
simpson-non-linear,3,44,100,0.01687,0.55
simpson-non-linear,4,45,100,0.02738,0.6
simpson-non-linear,5,46,100,0.01099,0.575
simpson-non-linear,6,47,100,0.01333,0.7
simpson-non-linear,7,48,100,0.01918,0.675
simpson-non-linear,8,49,100,0.01472,0.725
simpson-non-linear,9,50,100,0.0205,0.625
simpson-non-linear,10,51,100,0.02307,0.725
simpson-symprod,1,42,50,0.01842,0.8
simpson-symprod,2,43,50,0.01405,0.625
simpson-symprod,3,44,50,0.02398,0.575
simpson-symprod,4,45,50,0.0225,0.725
simpson-symprod,5,46,50,0.01734,0.725
simpson-symprod,6,47,50,0.01797,0.775
simpson-symprod,7,48,50,0.01242,0.675
simpson-symprod,8,49,50,0.01734,0.825
simpson-symprod,9,50,50,0.01085,0.625
simpson-symprod,10,51,50,0.02012,0.625
simpson-symprod,1,42,100,0.01249,0.675
simpson-symprod,2,43,100,0.03409,0.7
simpson-symprod,3,44,100,0.00848,0.525
simpson-symprod,4,45,100,0.01545,0.6
simpson-symprod,5,46,100,0.02837,0.675
simpson-symprod,6,47,100,0.01178,0.675
simpson-symprod,7,48,100,0.01011,0.5
simpson-symprod,8,49,100,0.04349,0.75
simpson-symprod,9,50,100,0.02304,0.625
simpson-symprod,10,51,100,0.01349,0.625
triangle-linear,1,42,50,0.01173,0.65
triangle-linear,2,43,50,0.01948,0.75
triangle-linear,3,44,50,0.03614,0.675
triangle-linear,4,45,50,0.02442,0.775
triangle-linear,5,46,50,0.02955,0.8
triangle-linear,6,47,50,0.01859,0.8
triangle-linear,7,48,50,0.01259,0.65
triangle-linear,8,49,50,0.04585,0.65
triangle-linear,9,50,50,0.03317,0.75
triangle-linear,10,51,50,0.01562,0.675
triangle-linear,1,42,100,0.01597,0.675
triangle-linear,2,43,100,0.01099,0.55
triangle-linear,3,44,100,0.03412,0.6
triangle-linear,4,45,100,0.00875,0.5
triangle-linear,5,46,100,0.02236,0.7
triangle-linear,6,47,100,0.02401,0.7
triangle-linear,7,48,100,0.0351,0.675
triangle-linear,8,49,100,0.01859,0.55
triangle-linear,9,50,100,0.02814,0.55
triangle-linear,10,51,100,0.02889,0.725
triangle-non-linear,1,42,50,0.01519,0.6
triangle-non-linear,2,43,50,0.02641,0.725
triangle-non-linear,3,44,50,0.01503,0.575
triangle-non-linear,4,45,50,0.02852,0.675
triangle-non-linear,5,46,50,0.04573,0.675
triangle-non-linear,6,47,50,0.02342,0.775
triangle-non-linear,7,48,50,0.01628,0.6
triangle-non-linear,8,49,50,0.04032,0.625
triangle-non-linear,9,50,50,0.01877,0.7
triangle-non-linear,10,51,50,0.02104,0.675
triangle-non-linear,1,42,100,0.03019,0.7
triangle-non-linear,2,43,100,0.01098,0.525
triangle-non-linear,3,44,100,0.0288,0.55
triangle-non-linear,4,45,100,0.00478,0.6
triangle-non-linear,5,46,100,0.02382,0.625
triangle-non-linear,6,47,100,0.01699,0.65
triangle-non-linear,7,48,100,0.01633,0.575
triangle-non-linear,8,49,100,0.02454,0.675
triangle-non-linear,9,50,100,0.03954,0.775
triangle-non-linear,10,51,100,0.02376,0.75
