Dataset,Experiment,Seed,N,MMD,RF Acc
fork-non-linear,3,44,50,0.01942,0.65
fork-non-linear,4,45,50,0.03781,0.7
fork-non-linear,5,46,50,0.00968,0.525
fork-non-linear,6,47,50,0.03914,0.575
fork-non-linear,7,48,50,0.013,0.6
fork-non-linear,8,49,50,0.04455,0.725
fork-non-linear,9,50,50,0.02309,0.6
fork-non-linear,10,51,50,0.01747,0.6
fork-non-linear,1,42,100,0.01727,0.55
fork-non-linear,2,43,100,0.02121,0.575
fork-non-linear,3,44,100,0.01469,0.5
fork-non-linear,4,45,100,0.01917,0.5
fork-non-linear,5,46,100,0.01635,0.6
fork-non-linear,6,47,100,0.01381,0.5
fork-non-linear,7,48,100,0.05528,0.8
fork-non-linear,8,49,100,0.02902,0.6
fork-non-linear,9,50,100,0.02054,0.625
fork-non-linear,10,51,100,0.01412,0.55
simpson-non-linear,1,42,50,0.02652,0.525
simpson-non-linear,2,43,50,0.0168,0.6
simpson-non-linear,3,44,50,0.01877,0.65
simpson-non-linear,4,45,50,0.03938,0.7
simpson-non-linear,5,46,50,0.01167,0.625
simpson-non-linear,6,47,50,0.01839,0.6
simpson-non-linear,7,48,50,0.02267,0.7
simpson-non-linear,8,49,50,0.03751,0.625
simpson-non-linear,9,50,50,0.0154,0.525
simpson-non-linear,10,51,50,0.01456,0.525
simpson-non-linear,1,42,100,0.01961,0.525
simpson-non-linear,2,43,100,0.01366,0.5
simpson-non-linear,3,44,100,0.01496,0.525
simpson-non-linear,4,45,100,0.00816,0.525
simpson-non-linear,5,46,100,0.00933,0.5
simpson-non-linear,6,47,100,0.02335,0.55
simpson-non-linear,7,48,100,0.01426,0.525
simpson-non-linear,8,49,100,0.01588,0.525
simpson-non-linear,9,50,100,0.01809,0.55
simpson-non-linear,10,51,100,0.01303,0.625
simpson-symprod,1,42,50,0.03678,0.55
simpson-symprod,2,43,50,0.02748,0.55
simpson-symprod,3,44,50,0.05804,0.625
simpson-symprod,4,45,50,0.03273,0.75
simpson-symprod,5,46,50,0.01652,0.6
simpson-symprod,6,47,50,0.02043,0.675
simpson-symprod,7,48,50,0.05031,0.65
simpson-symprod,8,49,50,0.03529,0.675
simpson-symprod,9,50,50,0.03407,0.575
simpson-symprod,10,51,50,0.03022,0.6
simpson-symprod,1,42,100,0.01601,0.55
simpson-symprod,2,43,100,0.00761,0.6
simpson-symprod,3,44,100,0.02408,0.625
simpson-symprod,4,45,100,0.0107,0.525
simpson-symprod,5,46,100,0.01183,0.525
simpson-symprod,6,47,100,0.0352,0.55
simpson-symprod,7,48,100,0.02727,0.625
simpson-symprod,8,49,100,0.02914,0.575
simpson-symprod,9,50,100,0.02365,0.6
simpson-symprod,10,51,100,0.01514,0.625
triangle-linear,1,42,50,0.0527,0.725
triangle-linear,2,43,50,0.03029,0.675
triangle-linear,3,44,50,0.04589,0.8
triangle-linear,4,45,50,0.08818,0.825
triangle-linear,5,46,50,0.02602,0.875
triangle-linear,6,47,50,0.05472,0.775
triangle-linear,7,48,50,0.04193,0.8
triangle-linear,8,49,50,0.05563,0.725
triangle-linear,9,50,50,0.02344,0.85
triangle-linear,10,51,50,0.0354,0.675
triangle-linear,1,42,100,0.03118,0.7
triangle-linear,2,43,100,0.01822,0.675
triangle-linear,3,44,100,0.0273,0.65
triangle-linear,4,45,100,0.0126,0.65
triangle-linear,5,46,100,0.02046,0.725
triangle-linear,6,47,100,0.04196,0.7
triangle-linear,7,48,100,0.03241,0.75
triangle-linear,8,49,100,0.02219,0.675
triangle-linear,9,50,100,0.03279,0.7
triangle-linear,10,51,100,0.02277,0.65
triangle-non-linear,1,42,50,0.05734,0.925
triangle-non-linear,2,43,50,0.03457,0.675
triangle-non-linear,3,44,50,0.03503,0.8
triangle-non-linear,4,45,50,0.06941,0.775
triangle-non-linear,5,46,50,0.04186,0.8
triangle-non-linear,6,47,50,0.03273,0.65
triangle-non-linear,7,48,50,0.03335,0.775
triangle-non-linear,8,49,50,0.04516,0.825
triangle-non-linear,9,50,50,0.07212,0.875
triangle-non-linear,10,51,50,0.02743,0.525
triangle-non-linear,1,42,100,0.0344,0.725
triangle-non-linear,2,43,100,0.01926,0.525
triangle-non-linear,3,44,100,0.01975,0.6
triangle-non-linear,4,45,100,0.01929,0.575
triangle-non-linear,5,46,100,0.02255,0.65
triangle-non-linear,6,47,100,0.032,0.675
triangle-non-linear,7,48,100,0.04297,0.75
triangle-non-linear,8,49,100,0.03086,0.6
triangle-non-linear,9,50,100,0.0276,0.65
triangle-non-linear,10,51,100,0.02524,0.5
