Dataset,Experiment,Seed,N,MMD,RF Acc
3-chain-linear,1,42,50,0.00945,0.775
3-chain-linear,2,43,50,0.01302,0.675
3-chain-linear,3,44,50,0.0138,0.6
3-chain-linear,4,45,50,0.01501,0.725
3-chain-linear,5,46,50,0.011,0.625
3-chain-linear,6,47,50,0.0336,0.725
3-chain-linear,7,48,50,0.00984,0.65
3-chain-linear,8,49,50,0.01356,0.625
3-chain-linear,9,50,50,0.01991,0.55
3-chain-linear,10,51,50,0.01196,0.65
3-chain-linear,1,42,100,0.01987,0.625
3-chain-linear,2,43,100,0.01132,0.75
3-chain-linear,3,44,100,0.01164,0.7
3-chain-linear,4,45,100,0.01638,0.65
3-chain-linear,5,46,100,0.00631,0.675
3-chain-linear,6,47,100,0.01239,0.65
3-chain-linear,7,48,100,0.01059,0.625
3-chain-linear,8,49,100,0.02766,0.65
3-chain-linear,9,50,100,0.01811,0.575
3-chain-linear,10,51,100,0.01214,0.575
3-chain-non-linear,1,42,50,0.02615,0.65
3-chain-non-linear,2,43,50,0.01567,0.6
3-chain-non-linear,3,44,50,0.01388,0.775
3-chain-non-linear,4,45,50,0.03031,0.65
3-chain-non-linear,5,46,50,0.01419,0.6
3-chain-non-linear,6,47,50,0.04346,0.75
3-chain-non-linear,7,48,50,0.01704,0.525
3-chain-non-linear,8,49,50,0.02067,0.575
3-chain-non-linear,9,50,50,0.0221,0.6
3-chain-non-linear,10,51,50,0.0156,0.65
3-chain-non-linear,1,42,100,0.01669,0.575
3-chain-non-linear,2,43,100,0.01161,0.55
3-chain-non-linear,3,44,100,0.01815,0.625
3-chain-non-linear,4,45,100,0.01665,0.65
3-chain-non-linear,5,46,100,0.01115,0.575
3-chain-non-linear,6,47,100,0.03667,0.625
3-chain-non-linear,7,48,100,0.01137,0.6
3-chain-non-linear,8,49,100,0.02442,0.625
3-chain-non-linear,9,50,100,0.01285,0.525
3-chain-non-linear,10,51,100,0.00575,0.525
4-chain-linear,1,42,50,0.0101,0.625
4-chain-linear,2,43,50,0.01163,0.575
4-chain-linear,3,44,50,0.01622,0.55
4-chain-linear,4,45,50,0.01152,0.55
