Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
19,60,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.25367,0.921,0.02085,1.63043,0.96995,0.10467,0.08612,0.00304,0.15789,0.8
19,60,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.24935,0.91781,0.02049,1.44898,0.93685,0.09917,0.08408,0.00295,0.15086,0.8
19,60,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.23647,0.91246,0.02236,1.34141,0.91075,0.10265,0.09529,0.0028,0.16208,0.875
19,60,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.27671,0.90499,0.01721,20.75288,2.25799,0.36235,0.52638,0.00655,0.30224,0.875
19,60,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,1.28307,0.90367,0.01711,5.18021,1.6098,0.18916,0.1964,0.0048,0.02105,0.65
19,60,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,1.2958,0.90398,0.01723,4.80843,1.53264,0.18561,0.19381,0.00474,0.02127,0.65
19,60,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,1.27959,0.90215,0.01733,4.27201,1.45954,0.17954,0.18167,0.00457,0.02197,0.625
19,60,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,1.27657,0.9013,0.01751,3.88483,1.39816,0.17482,0.17381,0.00449,0.02233,0.625
19,60,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,1.29681,0.90514,0.01784,3.56645,1.34605,0.17001,0.16604,0.00447,0.02255,0.575
19,60,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,1.35357,0.91151,0.02179,3.25026,1.294,0.1631,0.15691,0.00478,0.02394,0.625
19,60,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,1.34225,0.91162,0.02171,2.83584,1.22834,0.14871,0.13883,0.0048,0.02552,0.65
19,60,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,1.28356,0.90644,0.01848,1.0174,0.77561,0.03713,0.06482,0.00297,0.02358,0.625
19,60,mse,MSE,1.0,0.0,50,1.77153,0.9672,0.05568,0.97692,0.77037,0.14087,0.09865,0.00397,0.03568,0.6
19,60,mse,MSE,1.0,0.0,100,1.56405,0.94435,0.05429,2.57748,1.07795,0.19693,0.29322,0.00521,0.04044,0.575
19,60,mse,MSE,1.0,0.0,300,1.23388,0.91461,0.02424,1.30331,0.89718,0.11856,0.11884,0.00266,0.16532,0.875
19,60,mse,MSE,1.0,0.0,500,1.30126,0.90862,0.0192,1.76208,1.06083,0.1767,0.21707,0.00434,0.03772,0.625
20,61,hsic,HSIC,0.0,1.0,50,5.97142,1.52529,0.26542,19.67468,2.17905,0.37747,0.53171,0.00462,0.05003,0.575
20,61,hsic,HSIC,0.0,1.0,100,5.5808,1.78639,0.096,31.56685,2.16793,0.29203,0.2464,0.0041,0.0663,0.65
20,61,hsic,HSIC,0.0,1.0,300,3.90737,1.33758,0.10803,31.88054,2.33936,0.22372,0.24589,0.00437,0.08195,0.625
20,61,hsic,HSIC,0.0,1.0,500,4.95854,1.56825,0.10827,27.49748,2.38517,0.33809,0.50116,0.00782,0.09858,0.65
20,61,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,6.52541,1.56557,0.26865,19.46987,2.17096,0.37741,0.53116,0.00459,0.05017,0.625
20,61,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,5.76203,1.53457,0.31154,1.79307,1.00302,0.11942,0.14763,0.00414,0.02764,0.625
20,61,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,5.17543,1.48113,0.30991,2.3936,1.02383,0.12713,0.17666,0.00397,0.0291,0.65
20,61,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,5.20071,1.48247,0.30969,2.62266,1.02681,0.135,0.1937,0.00394,0.03034,0.675
20,61,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,4.34585,1.37364,0.26078,7.65811,1.47271,0.27143,0.39729,0.00415,0.03348,0.625
20,61,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,4.15041,1.35294,0.25711,8.4343,1.52221,0.28466,0.41535,0.00416,0.03435,0.575
20,61,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,3.98177,1.33197,0.24888,8.8752,1.5557,0.29537,0.42818,0.00426,0.03531,0.6
20,61,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,3.70107,1.28463,0.22448,9.06756,1.56422,0.29556,0.42532,0.00482,0.03573,0.6
20,61,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,2.49195,1.10259,0.09271,9.39377,1.59668,0.30225,0.43765,0.0053,0.03618,0.675
20,61,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,2.21105,1.02869,0.06563,0.9562,0.80197,0.1263,0.05482,0.00271,0.01663,0.575
20,61,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,2.15525,1.03073,0.06623,0.85478,0.74665,0.09588,0.04662,0.00316,0.01663,0.525
20,61,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,2.05573,1.01946,0.06066,0.82826,0.7251,0.07854,0.04096,0.00282,0.01397,0.6
20,61,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.98421,1.00158,0.05394,0.8437,0.72845,0.08314,0.04568,0.00304,0.01415,0.575
20,61,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.95543,0.98576,0.0503,0.84541,0.72878,0.08071,0.04655,0.00306,0.01489,0.55
20,61,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.97967,0.98522,0.05087,0.84533,0.72932,0.07781,0.04705,0.00307,0.01527,0.575
20,61,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.98921,0.98122,0.05107,0.92156,0.77795,0.10125,0.0443,0.00282,0.01872,0.625
20,61,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,2.01409,0.98396,0.05305,0.95514,0.78744,0.08528,0.04488,0.00278,0.01847,0.5
