Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
6,47,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.7101,1.06401,0.15237,1.22358,0.92613,0.03928,0.08775,0.00204,0.04618,0.65
6,47,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.80367,1.0941,0.16847,1.12349,0.90636,0.0401,0.09668,0.00231,0.04685,0.55
6,47,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.79445,1.0915,0.1534,1.13818,0.90798,0.0498,0.04946,0.00285,0.04677,0.55
6,47,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.87975,1.11589,0.1693,1.14616,0.91327,0.05397,0.05147,0.00282,0.04509,0.55
6,47,mse,MSE,1.0,0.0,50,1.20391,0.96399,0.06299,2.01815,1.2244,0.09757,0.18366,0.00942,0.07346,1.0
6,47,mse,MSE,1.0,0.0,100,1.87101,1.1118,0.16434,1.18174,0.92966,0.06572,0.05837,0.00277,0.04716,0.5
7,48,hsic,HSIC,0.0,1.0,50,1.27798,0.91429,0.12124,3.98812,1.56139,0.39944,0.40113,0.01175,0.07385,0.5
7,48,hsic,HSIC,0.0,1.0,100,1.49816,1.04937,0.12308,1.68367,1.05916,0.07029,0.11982,0.00555,0.04743,0.65
7,48,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.10433,0.84871,0.09266,3.95755,1.55834,0.39867,0.39925,0.00952,0.08646,0.6
7,48,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.0481,0.85743,0.09328,1.5616,1.10887,0.15472,0.05809,0.00478,0.08041,0.7
7,48,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.04538,0.86441,0.08625,1.55153,1.10939,0.14371,0.05572,0.00453,0.07419,0.6
7,48,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.1046,0.88337,0.09811,1.55784,1.11098,0.14322,0.05502,0.00446,0.07796,0.7
7,48,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,1.1107,0.88674,0.09378,1.59125,1.12627,0.1529,0.06433,0.00403,0.07912,0.7
7,48,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.08894,0.89228,0.09635,1.56087,1.11984,0.14554,0.06088,0.00397,0.08177,0.6
7,48,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.06644,0.86943,0.13004,1.54452,1.11481,0.13822,0.05848,0.00458,0.08139,0.7
7,48,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.16008,0.8908,0.14587,1.52509,1.10679,0.12748,0.05145,0.00486,0.07355,0.7
7,48,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.1432,0.88542,0.16306,1.52197,1.10513,0.1109,0.04061,0.00525,0.08464,0.8
7,48,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.34211,0.99534,0.11277,1.71341,1.07959,0.09413,0.12966,0.00562,0.04432,0.65
7,48,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.3861,1.00608,0.10662,1.43843,0.96282,0.069,0.11454,0.00598,0.04075,0.65
7,48,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.36459,0.99932,0.10211,1.36191,0.93398,0.06096,0.10422,0.00592,0.03518,0.6
