Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
20,61,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,2.11012,0.69891,0.28362,6.82582,0.7505,0.08377,0.04944,0.00352,0.01642,0.55
20,61,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,2.08327,0.69481,0.28084,6.99599,0.77621,0.10462,0.0733,0.00435,0.01652,0.6
20,61,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.87838,0.64222,0.23341,7.24331,0.83105,0.13528,0.09262,0.00494,0.01628,0.6
20,61,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.94649,0.63398,0.20101,7.61737,0.88331,0.1573,0.10975,0.00522,0.01606,0.6
20,61,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.05877,0.6253,0.06566,1.26772,0.60265,0.12529,0.0925,0.0035,0.02616,0.6
20,61,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.18819,0.57817,0.16892,1.69059,0.62,0.11696,0.08753,0.00405,0.02525,0.625
20,61,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.05309,0.5437,0.13219,1.66347,0.62208,0.11415,0.09847,0.00418,0.02544,0.625
20,61,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,0.41747,0.46813,0.11073,1.7823,0.57302,0.04723,0.03974,0.00214,0.02516,0.575
20,61,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,0.41172,0.46106,0.09412,1.53443,0.56452,0.05132,0.04285,0.00193,0.02521,0.5
20,61,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.37512,0.58647,0.16837,0.55122,0.49858,0.05319,0.04545,0.00334,0.02458,0.55
20,61,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.55135,0.59527,0.16914,8.40988,0.73149,0.04952,0.04593,0.00331,0.02426,0.55
20,61,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.79272,0.60722,0.17141,17.32218,0.85158,0.04145,0.04624,0.00324,0.02391,0.55
20,61,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.63461,0.59993,0.17174,28.55422,0.96789,0.03769,0.05381,0.00302,0.03616,0.5
20,61,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.14263,0.61169,0.08591,1.75399,0.59035,0.07448,0.05754,0.00321,0.03383,0.6
20,61,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,0.86269,0.52025,0.07193,1.44548,0.5788,0.07595,0.0612,0.00274,0.03106,0.6
20,61,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,0.86046,0.5135,0.08241,1.2603,0.56118,0.07664,0.06495,0.00275,0.02945,0.6
20,61,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,0.82875,0.50835,0.08684,0.45053,0.48826,0.05326,0.04057,0.00275,0.02919,0.625
20,61,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,0.49975,0.4787,0.09566,0.44882,0.48715,0.05435,0.04288,0.00274,0.0267,0.65
20,61,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,0.46537,0.46528,0.09339,0.44288,0.48477,0.05478,0.04629,0.00268,0.02711,0.6
20,61,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,0.47918,0.4701,0.09759,0.43624,0.48207,0.05503,0.0514,0.00279,0.0271,0.6
20,61,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,0.4811,0.47288,0.10801,0.43586,0.47758,0.05295,0.05998,0.00298,0.02745,0.55
20,61,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,0.51074,0.48205,0.11461,0.42024,0.47313,0.05169,0.07419,0.00318,0.02727,0.6
20,61,mse,MSE,1.0,0.0,50,3.05519,0.81723,0.27773,4.09311,0.6926,0.12304,0.04508,0.00412,0.02292,0.55
20,61,mse,MSE,1.0,0.0,100,2.16585,0.65843,0.1881,8.74675,0.9501,0.14665,0.12227,0.00546,0.01566,0.525
20,61,mse,MSE,1.0,0.0,300,1.30673,0.57246,0.15957,28.05517,1.07409,0.19974,0.11952,0.00453,0.02088,0.5
20,61,mse,MSE,1.0,0.0,500,0.59602,0.49427,0.11935,0.42025,0.46698,0.05364,0.09397,0.00381,0.02767,0.6
