Experiment,Seed,N,Best_val_nll,MMD,RF Acc
1,42,50,2.6648,0.01935,0.75
1,42,100,2.13567,0.01534,0.65
1,42,300,2.52658,0.02524,0.525
1,42,500,2.21294,0.01525,0.575
2,43,50,3.20689,0.01442,0.675
2,43,100,5.59762,0.02022,0.725
2,43,300,4.34597,0.02465,0.575
2,43,500,2.59471,0.01962,0.525
3,44,50,97.75602,0.01989,0.675
3,44,100,5.29228,0.0184,0.725
3,44,300,216.58804,0.01818,0.6
3,44,500,32.49853,0.0233,0.65
4,45,50,2.12122,0.03397,0.625
4,45,100,2.38051,0.03287,0.6
4,45,300,3.00567,0.00932,0.5
4,45,500,7.26012,0.01623,0.65
5,46,50,2.26229,0.02922,0.725
5,46,100,3.27073,0.02695,0.775
5,46,300,2.66052,0.0122,0.525
5,46,500,5.22383,0.01002,0.5
6,47,50,5.1121,0.06292,0.7
6,47,100,638.48553,0.03973,0.55
6,47,300,2.75527,0.02118,0.625
6,47,500,4.40355,0.01409,0.55
7,48,50,3.2436,0.04027,0.675
7,48,100,2.96369,0.04477,0.7
7,48,300,4.65073,0.02192,0.675
7,48,500,5.73507,0.02394,0.625
8,49,50,3.44189,0.03697,0.775
8,49,100,23.8601,0.03285,0.65
8,49,300,18.62604,0.01724,0.525
8,49,500,4.9357,0.01786,0.55
9,50,50,2.65006,0.02866,0.75
9,50,100,2.08357,0.01594,0.55
9,50,300,2.42206,0.01276,0.65
9,50,500,2.80284,0.01088,0.55
10,51,50,0.67881,0.04793,0.725
10,51,100,2.32341,0.02879,0.65
10,51,300,5.25617,0.01787,0.575
10,51,500,2.56429,0.02061,0.575
11,52,50,2.44139,0.03384,0.65
11,52,100,3.0384,0.02804,0.625
11,52,300,9.25149,0.02588,0.55
11,52,500,2.51957,0.02387,0.525
12,53,50,2.72559,0.08326,0.775
12,53,100,3.26223,0.05196,0.75
12,53,300,4.181,0.02528,0.675
12,53,500,5.171,0.01139,0.5
13,54,50,4.79818,0.04318,0.725
13,54,100,18.22393,0.02011,0.575
13,54,300,17.7435,0.01573,0.525
13,54,500,3.23302,0.01886,0.575
14,55,50,4.25227,0.03242,0.775
14,55,100,4.05228,0.03216,0.775
14,55,300,2.65731,0.01398,0.55
14,55,500,13.72834,0.01111,0.575
15,56,50,3.57694,0.04429,0.725
15,56,100,2.4607,0.03379,0.575
15,56,300,2.64907,0.01959,0.575
15,56,500,13.02508,0.01892,0.575
16,57,50,2.28533,0.04768,0.775
16,57,100,1.82425,0.0367,0.6
16,57,300,4.59321,0.02232,0.7
16,57,500,9.73855,0.02236,0.575
17,58,50,2.67931,0.01267,0.75
17,58,100,2.77411,0.02309,0.575
17,58,300,9.80383,0.01709,0.575
17,58,500,3.38619,0.01453,0.6
18,59,50,5.09102,0.03684,0.7
18,59,100,21.96953,0.01938,0.525
18,59,300,1.7147,0.01407,0.575
18,59,500,5.16738,0.00964,0.575
19,60,50,10.34226,0.03411,0.825
19,60,100,2.91383,0.02898,0.625
19,60,300,3.45919,0.02277,0.65
19,60,500,12.5968,0.0187,0.525
20,61,50,2.56558,0.03896,0.775
20,61,100,2.83211,0.02776,0.675
20,61,300,2.99106,0.01798,0.6
20,61,500,3.25164,0.01007,0.55
