Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,3.74639,0.69009,0.36237,87.57121,1.75304,0.06238,0.08323,0.00443,0.07186,0.7
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,3.71571,0.6875,0.36732,86.14352,1.71838,0.11635,0.09803,0.00453,0.05974,0.65
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,3.61667,0.68368,0.36881,84.05769,1.46511,0.01694,0.02545,0.00269,0.05076,0.725
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,3.51637,0.68039,0.36889,81.26789,1.4508,0.01874,0.02547,0.00264,0.04989,0.7
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,3.42652,0.67736,0.36832,79.10123,1.43231,0.01813,0.02562,0.00247,0.05017,0.675
1,42,mse,MSE,1.0,0.0,50,3.29137,0.65905,0.33727,91.27024,2.20469,0.34918,0.15267,0.00537,0.02253,0.525
1,42,mse,MSE,1.0,0.0,100,3.64709,0.68146,0.34776,92.83057,2.24291,0.43109,0.17733,0.00512,0.03152,0.575
1,42,mse,MSE,1.0,0.0,300,3.19824,0.66005,0.34699,62.90009,1.55932,0.19058,0.08309,0.00427,0.07482,0.75
1,42,mse,MSE,1.0,0.0,500,3.31577,0.6732,0.36776,77.79209,1.42794,0.02472,0.03384,0.00223,0.0553,0.75
2,43,hsic,HSIC,0.0,1.0,50,3.1404,0.65796,0.34315,96.19758,2.34854,0.21225,0.14119,0.00555,0.04915,0.625
2,43,hsic,HSIC,0.0,1.0,100,3.26974,0.66378,0.34385,78.2618,2.15298,0.15331,0.11786,0.00517,0.0775,0.7
2,43,hsic,HSIC,0.0,1.0,300,3.31293,0.66482,0.34334,93.00588,2.65478,0.0644,0.06845,0.00438,0.08123,0.75
2,43,hsic,HSIC,0.0,1.0,500,3.30406,0.66466,0.34022,92.20704,2.40782,0.13478,0.10897,0.00568,0.19442,0.775
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,3.14067,0.65761,0.34257,91.18133,2.25389,0.22968,0.14183,0.00545,0.03377,0.625
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,3.14072,0.65761,0.34258,1518.31428,5.85512,0.19852,0.12648,0.00537,0.02785,0.625
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,3.13413,0.65729,0.34237,91.67562,2.22566,0.34581,0.1615,0.00518,0.03103,0.625
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,3.12669,0.65682,0.34192,90.64533,2.16605,0.33585,0.15594,0.00515,0.03093,0.625
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,3.12581,0.65671,0.34181,90.39514,2.13095,0.29235,0.13644,0.00496,0.03104,0.625
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,5.75037,0.98077,0.3507,90.14492,2.11684,0.26678,0.12422,0.0042,0.03239,0.575
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,5.61861,1.01583,0.36109,90.27015,2.12709,0.26904,0.12842,0.00391,0.03223,0.575
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,4.19668,0.89884,0.377,90.46678,2.13141,0.26903,0.12786,0.00418,0.03792,0.625
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,4.20996,0.89986,0.37982,90.67339,2.16075,0.35285,0.14417,0.00398,0.0403,0.6
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,3.26424,0.66353,0.34375,74.96807,1.53944,0.07312,0.07043,0.00366,0.04383,0.65
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,3.25073,0.66283,0.34312,63.83303,1.55194,0.0714,0.06942,0.00386,0.044,0.625
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,3.25141,0.66248,0.34273,57.60189,1.525,0.07994,0.07488,0.00395,0.04416,0.65
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,3.25123,0.66216,0.34231,58.86135,1.54055,0.08199,0.0765,0.00394,0.04395,0.675
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,3.25097,0.662,0.34212,63.21713,1.5653,0.1015,0.0879,0.00411,0.04352,0.675
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,3.24893,0.6619,0.34202,59.91052,1.55295,0.10109,0.08686,0.00409,0.04311,0.65
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,3.26126,0.66236,0.342,58.19244,1.54927,0.10666,0.08964,0.00415,0.04284,0.65
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,3.26147,0.66247,0.34238,57.1313,1.55137,0.12042,0.09653,0.00432,0.04268,0.625
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,3.26109,0.66226,0.34216,56.37248,1.556,0.13072,0.09954,0.00442,0.04253,0.625
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,3.31595,0.66458,0.34384,84.09167,1.71584,0.08519,0.08331,0.00428,0.05359,0.7
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,3.31546,0.66459,0.34411,81.42661,1.81071,0.04163,0.11627,0.00402,0.06141,0.675
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,3.31627,0.6646,0.34415,81.54556,1.79659,0.04075,0.10473,0.00388,0.0613,0.65
