N,Config,MMD_mean,MMD_std,RFAcc_mean,RFAcc_std
50,Flow,0.0370425,0.016280245657981043,0.7275,0.050588640289256574
50,KAN MSE,0.0684705,0.0571099138296634,0.6624999999999999,0.10591083638210914
50,KAN HYBRID α=0.6 (β=0.4),0.05928399999999999,0.049453440665783915,0.6737500000000001,0.0904938933676859
50,KAN HYBRID α=0.3 (β=0.7),0.060860000000000004,0.048230977488266644,0.67125,0.07875469910791957
50,KAN HSIC,0.088716,0.08367542514162433,0.6599999999999999,0.09046662658857015
100,Flow,0.028891499999999997,0.00965889133607503,0.64375,0.07732152624627006
100,KAN MSE,0.08721000000000001,0.07760330391772871,0.6699999999999999,0.07281917040826108
100,KAN HYBRID α=0.6 (β=0.4),0.0767555,0.07106450342544625,0.6825,0.07075718300899507
100,KAN HYBRID α=0.3 (β=0.7),0.08379600000000001,0.07013093771840755,0.7025,0.07250226856704844
100,KAN HSIC,0.13129400000000002,0.09449173655878454,0.7225,0.07066414262291434
300,Flow,0.018762499999999998,0.004835072388289548,0.5875,0.05820788515945963
300,KAN MSE,0.154875,0.1482042301583936,0.77125,0.07312345364986673
300,KAN HYBRID α=0.6 (β=0.4),0.155773,0.1412748292886115,0.7812499999999999,0.08106000051943331
300,KAN HYBRID α=0.3 (β=0.7),0.17602500000000001,0.13989162013576986,0.77625,0.07966830909266376
300,KAN HSIC,0.272536,0.1343874759358961,0.8075000000000001,0.0721383903925022
500,Flow,0.0165625,0.004938473954573417,0.5662499999999999,0.04236045201289571
500,KAN MSE,0.1297415,0.11372295061961582,0.7474999999999999,0.07019709095786925
500,KAN HYBRID α=0.6 (β=0.4),0.122265,0.10357684513137295,0.7475,0.06634241320206616
500,KAN HYBRID α=0.3 (β=0.7),0.142452,0.1057339698737504,0.7637499999999999,0.06662690700341796
500,KAN HSIC,0.22136349999999996,0.11175375916319444,0.7875000000000001,0.06412364700532212
