Experimento,beta_optima,MAE(Z) beta=0,MAE(Z) beta_optima,"HSIC(Z,X) beta=0","HSIC(Z,X) beta_optima","HSIC(Z,Y) beta=0","HSIC(Z,Y) beta_optima",RF Acc beta=0,RF Acc beta_optima,Criterio,Nota
Aditivo Gaussiano,0.9,1.152108,1.554613,0.0587635,0.123467,0.11515900000000001,0.23807,0.5962500000000001,0.5875,menor RF Acc media,
Aditivo Exponencial,0.9,0.888199,0.974518,0.049406500000000006,0.046834,0.11509549999999999,0.112181,0.6875,0.675,menor RF Acc media,
Aditivo Gamma,0.9,1.160906,1.499198,0.17044700000000002,0.23270749999999998,0.21860399999999997,0.289392,0.6075,0.595,menor RF Acc media,
Aditivo Uniforme,0.3,0.989988,1.0276775,0.045491500000000004,0.0461415,0.058507500000000004,0.0785285,0.605,0.5700000000000001,menor RF Acc media,
Multiplicativo Gaussiano,0.4,1.0167235,0.9125025000000001,0.1513525,0.1332065,0.07329100000000001,0.0741585,0.6224999999999999,0.615,menor RF Acc media,
Multiplicativo Exponencial,0.1,0.7278425,0.6846185,0.2181765,0.1596155,0.059911000000000006,0.059489,0.73875,0.71375,menor RF Acc media,
Multiplicativo Gamma,0.6,1.0008435,0.757684,0.21546149999999997,0.1571315,0.136271,0.0976415,0.65,0.61875,menor RF Acc media,
Multiplicativo Uniforme,0.4,0.7622340000000001,0.7540825,0.11080349999999999,0.1006065,0.0859085,0.088294,0.61625,0.60625,menor RF Acc media,
