Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,10,1.42194,0.67324,0.80671,0.09084,262.83627,282.35519,12.75506,28.43218,1.78171,2.59376,313.69839,248.48805,610.46541,532.06811,0.00243,0.00113,0.0883,0.09919,0.736,0.11247
0.0,1.0,hsic,HSIC,10,3.04368,1.34642,1.117,0.1012,1456.13406,187.52229,38.65454,86.57371,2.00142,0.53385,701.31399,174.35712,1457.70167,285.54691,0.00386,0.00073,0.17688,0.10827,0.862,0.06374
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,10,1.41615,0.67667,0.80487,0.09203,264.14582,286.74488,12.91339,28.5298,1.78523,2.59618,322.7213,252.53715,593.8296,544.29003,0.00242,0.0012,0.08639,0.09875,0.749,0.10959
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,10,1.41889,0.67577,0.8063,0.09269,268.4558,292.67454,12.70457,28.50346,1.7803,2.60041,320.99776,253.76268,583.18034,559.38081,0.00242,0.00131,0.08489,0.09814,0.747,0.10761
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,10,1.42657,0.67196,0.80884,0.09273,276.45778,298.40643,12.77155,28.6042,1.78237,2.60539,326.30561,257.25421,572.14085,584.34042,0.00242,0.00139,0.08289,0.09712,0.736,0.11355
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,10,1.42951,0.66893,0.81086,0.09332,278.98874,306.67976,12.85987,28.73603,1.79022,2.60976,329.5827,264.60202,584.48527,594.83224,0.00243,0.00149,0.08307,0.09689,0.74,0.1076
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,10,1.44135,0.66113,0.81497,0.09333,293.7945,310.05473,12.92235,28.90729,1.79412,2.61838,335.08225,271.60004,584.15638,603.71596,0.00246,0.00148,0.0759,0.09702,0.735,0.10212
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,10,1.43205,0.67455,0.81115,0.09654,299.53308,319.64101,12.97623,29.14205,1.80468,2.62815,342.06722,266.16997,615.60606,591.53161,0.00239,0.00141,0.07691,0.09674,0.738,0.09727
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,10,1.44286,0.68317,0.81446,0.09741,308.91565,328.64568,10.58038,22.04696,1.68702,2.23885,363.60432,298.2002,614.38863,561.23019,0.00236,0.0014,0.07439,0.09444,0.751,0.09327
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,10,1.4282,0.64433,0.81692,0.09536,311.56348,319.7736,9.54137,19.24927,1.60231,2.06615,353.7292,321.31603,561.81731,461.47222,0.00238,0.00129,0.07144,0.09504,0.754,0.08449
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,10,1.56916,0.69359,0.85619,0.15348,498.61675,541.18472,7.75842,15.93297,1.53532,1.86834,430.78071,324.54624,602.45964,404.36037,0.00253,0.00108,0.07264,0.09229,0.76,0.08537
