Ruido,N,beta_optima,RF Acc obs beta=0,RF Acc obs beta_optima,MMD obs beta=0,MMD obs beta_optima,RF Acc int beta=0,RF Acc int beta_optima,MMD int beta=0,MMD int beta_optima
Gaussiano,50,0.3,0.6713636363636363,0.6690909090909091,0.0251227272727272,0.0233173636363636,0.7263636363636364,0.7229545454545455,0.053107909090909,0.0511158181818181
Gaussiano,100,0.4,0.6447727272727273,0.6313636363636363,0.0185188181818181,0.0178851818181818,0.7006818181818182,0.6952272727272727,0.043353,0.0440892727272727
Gamma,50,0.3,0.6897727272727273,0.6834090909090909,0.0475442727272727,0.0461223636363636,0.7615909090909091,0.755909090909091,0.0730871818181818,0.0704415454545454
Gamma,100,0.1,0.6613636363636364,0.6681818181818182,0.0437882727272727,0.0439097272727272,0.744090909090909,0.7461363636363637,0.0676078181818181,0.0674193636363636
