Experimento,beta_optima,MAE(Z) beta=0,MAE(Z) beta_optima,"HSIC(Z,X) beta=0","HSIC(Z,X) beta_optima","HSIC(Z,Y) beta=0","HSIC(Z,Y) beta_optima",RF Acc beta=0,RF Acc beta_optima,Criterio,Nota
Aditivo Gaussiano,0.8,0.954928,1.0937435,0.039316000000000004,0.043422499999999996,0.0673575,0.105173,0.6012500000000001,0.56875,menor RF Acc media,
Aditivo Exponencial,0.4,0.8165855000000001,0.7812910000000001,0.057423,0.0450845,0.08823349999999999,0.0645285,0.635,0.64,menor RF Acc media,
Aditivo Gamma,0.6,0.835688,0.981162,0.1055815,0.1253725,0.09930449999999999,0.1285945,0.6174999999999999,0.5912499999999999,menor RF Acc media,
Aditivo Uniforme,0.5,0.9562295000000001,0.9710245000000001,0.032186,0.0359525,0.0479735,0.059749,0.585,0.5675,menor RF Acc media,
Multiplicativo Gaussiano,0.2,0.797316,0.793112,0.081562,0.0830085,0.07296050000000001,0.068306,0.59875,0.5925,menor RF Acc media,
Multiplicativo Exponencial,0.6,0.696903,0.645967,0.2121055,0.114761,0.0647385,0.0429535,0.73125,0.7075,"empate en RF Acc media entre 2 betas, desempate por menor MMD",
Multiplicativo Gamma,0.3,0.890714,0.7152255000000001,0.18812299999999998,0.12066600000000001,0.131721,0.10883899999999999,0.63625,0.6224999999999999,menor RF Acc media,
Multiplicativo Uniforme,0.7,0.7144429999999999,0.7239424999999999,0.0907865,0.0889305,0.09777949999999999,0.08699799999999999,0.60625,0.5974999999999999,menor RF Acc media,
